"","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010"
"0",-3.30719861071901,-2.29434267576651,-1.02038281205618,-0.567399022006314,0.239024796079617,0.285280740859804,0.740615569886823,1.96684453566902,5.07583551128011,4.69709864253581,3.4684896903505,2.382859961804,0.820429946756907,-1.06152885176609,-2.51847740485835,-3.03397066850735,-3.66363421443448,-3.44585798080437,-1.90347161367046,-0.990247041336807,-1.37345697486562,-0.42984588430362,0.341135702079645,1.0373279680276,-0.764923365367143,-0.183121334587897,0.512914223369017,1.10328735879646,1.41230890816167,1.15946989606411,0.00157381943964597
"1",-9.20031801764086,-4.94095457323041,-2.10120055765123,-0.405146207552537,1.43735576770114,2.02440967262869,3.17238079444512,5.04465421483709,8.085515239549,5.58327780323842,3.09925719718612,1.90444966609478,0.265447604914946,-0.909935212642597,-0.840264983919215,0.116170895102813,0.6758691408071,2.22178533665415,2.84053656414879,2.46096172784853,0.484840478781446,0.628329051054101,-0.439652078788862,-1.38087417082375,-5.06130793808788,-3.42570302839834,-3.39636932637102,-3.54937473451,-3.65673760939294,-3.72266713562179,-3.4702754621821
"2",-5.73587460771416,-2.56893219731704,-0.0340037222253815,0.5781216062831,1.09617302141085,1.37957342393837,1.86356705218643,3.03688425986954,4.76279847099569,3.01828706898498,0.429364371780474,-0.183357868498727,-0.872060443667167,-1.48278965641772,-1.29318717387202,-0.297567813300651,0.485252467845681,1.62469640137702,2.12488334788461,2.04720940483841,0.14475513393796,-0.0293819526644139,-0.0610025611678193,-0.79423316372263,-3.58291324340481,-2.84308861182131,-1.29911091116461,-1.23760805452049,-1.11312889561062,-0.944970841567462,-0.546796134240584
"3",-2.74404123127813,-1.29131669615741,0.579564126359488,1.48823221274043,1.22067949542068,1.13664112002309,1.29565265420089,1.6302479052383,2.36448435673972,1.32624153579424,-0.369448364256275,-1.61023706120433,-1.9647397144344,-2.17987600670586,-2.13845275937465,-1.30135845340238,-0.333725057756546,1.19333177325171,1.23374625366371,1.41564357426425,0.506950597172271,-0.048731524657848,-0.225041110121721,-0.143333452442238,-2.24884032238099,-1.69082581439451,-0.956243603277885,0.439597694802269,0.735121582922246,1.03344499957352,1.49617791180036
"4",-0.34704930962034,-0.0567048496702504,0.545472420517848,1.37059598704962,1.42632693007566,1.32576661327414,1.03153381440335,0.863934727923266,0.606188461761681,0.162561272907819,-0.780625960411789,-1.668085761067,-2.78608746466844,-2.95330105582635,-3.03213107426142,-2.41026848078252,-1.43645448415622,0.434206860696232,0.46342094488613,0.83820817171456,0.45610421862861,0.47262127161858,0.107881485897439,0.00586082051492145,-1.04367952844856,-0.67900506707892,-0.035328383384595,0.520204215280015,2.0272402552149,2.41598850378779,2.8937296493945
"5",1.42438682078958,0.961671072639946,0.697541051284604,0.833765188954212,0.892810567650479,1.58905015777951,1.13331994162049,0.425676176166852,-0.436276375185532,-0.649359333331621,-1.00233184581741,-1.5436083197716,-2.5532128262561,-3.53567113512007,-3.89198748714604,-3.35185891053196,-2.45727930491207,-0.43308994055597,-0.45271702119396,0.435034962828287,0.364928099676688,0.606815280577633,0.885805806504754,0.537140703944882,-0.471067464699021,0.188716380687826,0.67560333923181,1.08760970202117,1.82541067313226,3.28434229960621,3.77188358990064
"6",2.58535061429281,1.64067858746163,0.848747700755868,0.560172050819877,0.0989613757688158,1.1825340212829,1.3163767838473,0.389841276581689,-1.00454747363764,-0.976988495522215,-1.12597634453999,-1.36294758669648,-2.21464161126292,-3.17745439529397,-4.45163994607566,-4.08990762215472,-3.18489848238023,-1.11388240081864,-1.30596856759186,-0.0781108883118391,0.390786725969569,0.700951198558077,1.25266358082849,1.40662141350319,0.297693879941716,0.457212788985565,1.20126130449719,1.42783837667387,1.99241515634198,2.73263370007612,4.15668841623964
"7",3.1407520361214,1.97184596580679,0.893574912019452,0.399617611171612,-0.358595276796532,0.508292923229388,0.929103665720104,0.526087900673574,-1.02438466369992,-0.996764877824444,-0.990223236364742,-1.1768452544684,-1.8470337521237,-2.69952308293927,-4.04530663840486,-4.44976380681937,-3.64407502148571,-1.48819434156864,-1.88018430718221,-0.558079871666978,0.250756262565651,0.880430566056104,1.50162694386927,1.80561083987776,1.22625647763387,0.891363358182425,1.15491108557214,1.60017160852721,1.96775608381483,2.45816461379221,3.22034290656269
"8",3.22042194328405,2.02720782763243,0.871996417239808,0.285377936946259,-0.589319443086504,0.111101494109044,0.319249534970677,0.231143257017937,-0.759416609601411,-0.671520558861741,-0.747331942111324,-0.858345990174599,-1.5193712708253,-2.22122984752156,-3.47745521527547,-3.93970316278136,-3.80943330870283,-1.75446090424762,-2.18020689778933,-0.913438705532223,-0.0130144156289539,0.805886181466875,1.68549308747912,1.9734534657031,1.55411793305768,1.45037303920301,1.23238137133674,1.21712225931832,1.79152388657014,2.05882043899674,2.55793362440475
"9",2.94431063796447,1.84451190679201,0.773745702909746,0.192748360110364,-0.690438094583165,-0.112362021525426,-0.0208405343780922,-0.214549826136608,-0.795256635663471,-0.206539201770869,-0.290060065516371,-0.505020344363546,-1.08647406609031,-1.78577308187102,-2.86257454871253,-3.27854300281279,-3.21495879060424,-1.87188762581088,-2.31343564447315,-1.09036646209803,-0.243369765686823,0.593170833709564,1.59004304071976,2.07171744409933,1.62775219984288,1.53218760612905,1.50817253724249,1.04312248151013,1.16918905931922,1.64493128066938,1.8949790556431
"10",2.48733891404971,1.53758786076078,0.613785302629863,0.106123347565887,-0.697691032636517,-0.234467097471302,-0.189234831513275,-0.405096575580459,-0.965577936083836,-0.148405910860689,0.220526655691901,-0.0108603110925479,-0.65378213132419,-1.29035411685519,-2.30605628854167,-2.62053991410367,-2.55920052105861,-1.43460042414685,-2.29861095074853,-1.22385142682314,-0.411086333204613,0.357850677970677,1.3157355587349,1.89645299694719,1.62798571644526,1.46718354273916,1.42554939259045,1.15673903797984,0.841237685509485,0.89465313131594,1.34085798541907
"11",1.98757711633032,1.20381509274157,0.442099373050172,0.0199318785909497,-0.649488261839848,-0.272384359199195,-0.253746373353277,-0.446512325052474,-0.944161546957479,-0.32648497707964,0.286792161250843,0.493840033365633,-0.117630799253834,-0.826394747323611,-1.72389738145806,-2.06190635975762,-1.96723123324479,-1.01831537376447,-1.76004384217888,-1.30121205219987,-0.618236324728168,0.130572750719739,0.985506338425987,1.55076907799627,1.38516451732083,1.41208867807246,1.2865090938853,1.021006033732,0.870597309920112,0.507468789375468,0.55675909897046
