age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,86194.612,86833.407,87415.065,87977.354,88509.172,89054.381,89463.818,89545.326,89123.749,89357.303,89387.599,89448.98,89422.206,87459.681,88574.363,88657.706,89002.261,87180.082,89119.285,88702.488,92016.176,92797.48,93002.236,93212.9,93421.67,93589.575,93770.79,93923.644,94049.349,94221.682,94363.085,94549.72,94751.432,94953.442,95135.659,95373.783,95584.183,95807.48,96023.25,96229.306,96451.613,96618.298,96732.043,96984.304,97125.128,97253.677,97373.737,97480.07,97566.296,97624.24,97682.221,97726.587,97774.697,97808.51,97839.98,97870.458,97894.611,97914.845,97929.676,97952.124,97971.124,97984.8,97996.776,98017.378,98038.858,98050.673,98075.475,98096.519,98114.869
11,85936.37,86588.02,87179.942,87753.753,88295.128,88852.821,89270.265,89353.652,88923.015,89155.476,89195.703,89260.313,89234.279,87233.778,88374.016,88462.092,88816.052,86958.42,88939.641,88516.496,91903.974,92706.165,92918.47,93137.439,93354.388,93526.511,93711.954,93867.123,93993.614,94168.717,94310.978,94499.996,94704.252,94907.889,95089.583,95329.507,95540.202,95763.647,95979.798,96186.262,96411.212,96578.458,96690.434,96948.839,97091.442,97220.498,97341.453,97448.586,97535.074,97591.752,97649.912,97694.108,97742.69,97776.456,97807.984,97838.936,97863.231,97883.494,97898.366,97921.044,97940.289,97954.007,97965.933,97986.782,98008.571,98020.174,98045.424,98066.689,98085.143
12,85694.243,86357.533,86958.847,87543.034,88093.181,88662.155,89086.932,89172.507,88734.797,88966.29,89015.656,89083.298,89058.126,87025.785,88187.78,88280.007,88642.099,86754.765,88771.711,88343.475,91793.67,92613.912,92833.027,93059.551,93283.962,93460.078,93649.48,93806.893,93934.26,94111.976,94255.3,94446.713,94653.519,94858.899,95040.358,95282.065,95493.245,95716.962,95933.683,96140.719,96368.406,96536.499,96647.398,96911.504,97056.024,97185.686,97307.653,97415.67,97502.509,97557.982,97616.401,97660.532,97709.587,97743.365,97774.99,97806.412,97830.871,97851.179,97866.123,97889.042,97908.553,97922.342,97934.248,97955.348,97977.459,97988.911,98014.589,98036.104,98054.679
13,85458.047,86132.301,86742.507,87336.416,87894.9,88474.497,88906.201,88993.93,88549.784,88780.998,88838.244,88908.727,88884.373,86822.347,88004.557,88100.583,88470.218,86555.209,88605.441,88172.455,91681.081,92518.126,92743.622,92977.272,93208.739,93388.754,93581.972,93741.61,93869.938,94050.191,94194.788,94388.675,94598.108,94805.378,94986.831,95230.342,95442.171,95666.259,95883.705,96091.446,96322.036,96491.266,96601.678,96871.288,97017.909,97148.284,97271.391,97380.392,97467.661,97521.912,97580.664,97624.814,97674.351,97708.19,97739.944,97771.843,97796.487,97816.855,97831.901,97855.074,97874.878,97888.767,97900.675,97922.039,97944.493,97955.842,97981.944,98003.74,98022.454
14,85219.435,85904.396,86523.267,87126.629,87693.275,88283.283,88721.76,88811.651,88361.329,88593.259,88657.207,88730.503,88706.969,86616.064,87817.952,87917.673,88294.663,86352.72,88435.396,87997.796,91563.367,92416.798,92648.553,92889.228,93127.679,93311.645,93508.651,93670.548,93799.934,93982.692,94128.785,94325.262,94537.444,94746.76,94928.373,95173.692,95386.283,95610.774,95829.028,96037.549,96271.257,96441.918,96552.39,96827.44,96976.378,97107.559,97231.932,97342.016,97429.768,97482.687,97541.827,97586.061,97636.083,97670.019,97701.923,97734.308,97759.154,97779.591,97794.766,97818.208,97838.334,97852.352,97864.281,97885.921,97908.745,97920.03,97946.558,97968.669,97987.538
15,84971.945,85667.658,86295.15,86907.98,87482.792,88083.329,88528.638,88620.93,88164.85,88398.591,88468.458,88544.752,88522.191,86403.371,87624.65,87728.184,88112.549,86144.532,88259.065,87817.175,91438.625,92308.384,92546.556,92794.464,93040.15,93228.269,93429.145,93593.384,93723.94,93909.207,94057.032,94256.236,94471.316,94682.83,94864.706,95111.791,95325.192,95550.03,95769.094,95978.388,96215.465,96387.849,96498.919,96779.413,96930.9,97062.955,97188.706,97299.959,97388.218,97439.597,97499.161,97543.525,97594.022,97628.074,97660.139,97693.014,97718.072,97738.58,97753.908,97777.634,97798.113,97812.284,97824.248,97846.177,97869.4,97880.656,97907.612,97930.074,97949.109
16,84711.105,85417.801,86053.983,86676.468,87259.561,87870.958,88323.291,88418.36,87957.028,88193.62,88269.0,88348.626,88327.287,86181.585,87422.165,87529.788,87921.704,85928.52,88074.537,87628.81,91305.45,92191.757,92436.721,92692.31,92945.741,93138.329,93343.25,93509.956,93641.804,93829.618,93979.409,94181.493,94399.645,94613.503,94795.682,95044.456,95258.657,95483.717,95703.517,95913.508,96154.228,96328.616,96440.774,96726.802,96881.081,97014.055,97141.282,97253.781,97342.542,97392.09,97452.094,97496.611,97547.566,97581.738,97613.963,97647.331,97672.608,97693.181,97708.68,97732.704,97753.568,97767.915,97779.922,97802.154,97825.806,97837.059,97864.45,97887.295,97906.507
17,84434.87,85152.846,85797.829,86430.225,87021.753,87644.42,88104.011,88202.269,87736.187,87976.434,88057.268,88140.608,88120.771,85949.162,87209.071,87321.12,87720.832,85703.331,87880.62,87431.541,91162.972,92066.196,92318.424,92582.255,92844.069,93041.491,93250.692,93420.008,93553.265,93743.699,93895.679,94100.817,94322.233,94538.582,94721.064,94971.458,95186.423,95411.548,95631.978,95842.563,96087.218,96263.872,96377.537,96669.292,96826.62,96960.549,97089.346,97203.163,97292.409,97339.792,97400.245,97444.922,97496.318,97530.606,97562.983,97596.851,97622.349,97642.981,97658.667,97683.003,97704.285,97718.828,97730.884,97753.432,97777.546,97788.817,97816.653,97839.918,97859.313
18,84143.38,84872.905,85526.8,86169.335,86769.447,87403.759,87870.811,87972.565,87502.044,87746.495,87832.842,87920.22,87902.105,85705.079,86984.526,87101.302,87509.073,85467.67,87676.377,87224.286,91010.766,91931.382,92191.329,92463.944,92734.76,92937.371,93151.098,93323.172,93457.939,93651.088,93805.47,94013.852,94238.744,94457.74,94640.515,94892.495,95108.197,95333.253,95554.218,95765.313,96014.202,96193.372,96308.898,96606.662,96767.311,96902.238,97032.706,97147.924,97237.643,97282.531,97343.444,97388.286,97440.116,97474.515,97507.038,97541.421,97567.146,97587.828,97603.719,97628.384,97650.118,97664.877,97676.986,97699.869,97724.48,97735.782,97764.084,97787.803,97807.39
19,83838.387,84579.649,85242.542,85895.367,86504.182,87150.406,87625.032,87730.354,87255.288,87504.399,87596.076,87687.653,87671.338,85448.368,86747.885,86869.584,87285.678,85219.867,87460.825,87005.723,90848.767,91787.374,92055.381,92337.194,92617.501,92825.596,93044.064,93219.032,93355.397,93551.362,93708.353,93920.181,94148.763,94370.579,94553.667,94807.25,95023.701,95248.613,95470.071,95681.643,95935.071,96117.007,96234.726,96538.811,96703.062,96839.05,96971.308,97088.024,97178.23,97220.341,97281.74,97326.761,97379.034,97413.546,97446.219,97481.141,97507.102,97527.833,97543.948,97568.962,97591.185,97606.183,97618.351,97641.59,97666.735,97678.083,97706.874,97731.086,97750.879
