age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00312138,0.00294166,0.00279847,0.00264157,0.00251218,0.00234821,0.00224342,0.0022235,0.00235174,0.00235663,0.0022423,0.00220373,0.0021975,0.00273059,0.0023785,0.00231894,0.00219493,0.00269403,0.00211522,0.00220725,0.00124278,0.00098691,0.00089878,0.00080281,0.00070884,0.00066098,0.00061281,0.00058664,0.000578,0.00054649,0.00053762,0.00051121,0.00048308,0.0004654,0.00047164,0.00045133,0.00044826,0.00044632,0.00044239,0.00043805,0.0004099,0.00040483,0.00042652,0.00035906,0.00034078,0.00033559,0.0003265,0.00031831,0.00031579,0.00032907,0.00032746,0.00032962,0.00032459,0.00032529,0.00032479,0.0003198,0.00031837,0.00031809,0.0003178,0.0003154,0.00031291,0.0003126,0.00031323,0.00031065,0.00030748,0.00030994,0.00030515,0.00030295,0.00030191
11,0.00287932,0.00271793,0.00258796,0.0024478,0.00233011,0.00218341,0.00208805,0.00206195,0.00215774,0.00216555,0.00205569,0.00201896,0.00200986,0.00244158,0.00215019,0.00209847,0.0019936,0.00239721,0.00192019,0.00199055,0.00119741,0.00098212,0.00090341,0.00081697,0.00073208,0.00068717,0.00064247,0.00061728,0.00060759,0.00057811,0.00056708,0.00054088,0.00051305,0.00049431,0.00049723,0.00047736,0.00047221,0.00046892,0.00046287,0.00045677,0.00042802,0.00042001,0.00043396,0.00037243,0.000353,0.00034686,0.0003367,0.00032775,0.00032431,0.00033662,0.00033417,0.00033518,0.00033022,0.00033026,0.00032936,0.00032447,0.00032283,0.00032238,0.00032176,0.0003193,0.00031664,0.00031602,0.00031633,0.00031374,0.00031048,0.00031227,0.00030776,0.00030531,0.00030411
12,0.00276348,0.00261278,0.00249051,0.00236038,0.00224939,0.00211285,0.00202347,0.00199667,0.00207995,0.00208283,0.00198543,0.00195117,0.00194208,0.00233263,0.00206887,0.00202239,0.00192732,0.00229212,0.00185959,0.00192256,0.00120446,0.00100911,0.00093654,0.00085627,0.00077729,0.00073397,0.00069131,0.00066647,0.00065577,0.00062734,0.00061401,0.00058712,0.00055864,0.00053833,0.00053839,0.00051822,0.00051102,0.00050634,0.00049828,0.00049044,0.00046017,0.0004491,0.00045644,0.00039791,0.00037672,0.00036941,0.0003579,0.00034793,0.00034356,0.00035557,0.00035229,0.00035231,0.00034725,0.00034672,0.00034543,0.00034049,0.00033862,0.000338,0.00033704,0.00033445,0.00033154,0.00033061,0.00033065,0.00032796,0.0003245,0.00032574,0.00032133,0.00031856,0.00031717
13,0.00275664,0.00261029,0.00249137,0.00236559,0.00225732,0.00212473,0.00203808,0.00201257,0.00209442,0.00208697,0.00200467,0.00197197,0.00196376,0.00234821,0.00209078,0.00204666,0.00195456,0.00231367,0.00188996,0.00195294,0.00125015,0.00106049,0.00099057,0.00091285,0.00083616,0.00079292,0.00075096,0.0007259,0.00071421,0.00068613,0.00067043,0.00064229,0.00061254,0.00059045,0.00058836,0.00056777,0.00055896,0.00055339,0.00054394,0.00053484,0.00050241,0.00048825,0.00048992,0.00043223,0.00040886,0.00040045,0.00038755,0.00037648,0.00037139,0.00038403,0.00038006,0.00037931,0.00037414,0.00037316,0.00037158,0.00036653,0.00036445,0.00036369,0.00036245,0.00035968,0.00035648,0.00035526,0.00035508,0.00035225,0.00034853,0.00034933,0.00034491,0.00034179,0.00034022
14,0.00283559,0.0026888,0.0025701,0.00244439,0.00233591,0.0022025,0.00211543,0.00208814,0.00216667,0.00214683,0.0020752,0.00204128,0.00203208,0.00240935,0.0021546,0.00211002,0.00201814,0.00237072,0.00195203,0.00201281,0.00131946,0.0011312,0.00106067,0.00098197,0.00090396,0.00085913,0.00081667,0.00079082,0.00077789,0.00074979,0.0007315,0.00070183,0.00067045,0.00064655,0.0006429,0.00062234,0.00061254,0.00060693,0.00059688,0.00058728,0.00055224,0.00053487,0.00053077,0.00047325,0.00044747,0.00043815,0.00042394,0.00041186,0.00040632,0.00042058,0.00041611,0.00041476,0.0004096,0.00040833,0.00040657,0.00040143,0.00039919,0.00039837,0.00039686,0.00039393,0.0003904,0.00038891,0.00038856,0.00038558,0.00038157,0.00038198,0.00037752,0.00037404,0.00037232
15,0.00298136,0.00283066,0.00270999,0.00258121,0.00247045,0.00233262,0.00224287,0.00221158,0.00228558,0.00225277,0.0021874,0.00215006,0.00213841,0.00250797,0.0022527,0.00220533,0.00211134,0.00245699,0.00203984,0.00209661,0.00140716,0.00121643,0.00114238,0.00105947,0.00097672,0.00092875,0.0008846,0.00085745,0.00084312,0.00081463,0.00079368,0.0007623,0.00072904,0.00070341,0.00069893,0.00067891,0.00066882,0.00066413,0.00065438,0.00064516,0.00060718,0.00058672,0.00057716,0.00051901,0.00049069,0.00048073,0.00046539,0.00045243,0.00044678,0.00046367,0.00045891,0.00045721,0.00045218,0.00045078,0.00044896,0.00044378,0.00044145,0.00044064,0.00043891,0.00043583,0.00043196,0.00043021,0.00042975,0.00042663,0.00042231,0.0004224,0.00041789,0.00041404,0.00041221
16,0.0031678,0.0030113,0.00288744,0.00275386,0.0026397,0.00249544,0.00240181,0.00236544,0.00243457,0.00239021,0.00232697,0.00228499,0.00227011,0.00263251,0.00237442,0.00232289,0.00222533,0.00256455,0.00214616,0.00219804,0.00150792,0.00131213,0.00123271,0.00114352,0.00105377,0.00100168,0.00095498,0.00092617,0.0009104,0.00088113,0.00085757,0.00082429,0.00078889,0.00076157,0.00075683,0.00073752,0.00072763,0.00072442,0.00071559,0.00070728,0.00066615,0.00064273,0.00062831,0.00056854,0.00053753,0.00052713,0.00051077,0.000497,0.00049148,0.00051169,0.00050681,0.00050495,0.00050009,0.00049869,0.00049692,0.00049169,0.00048931,0.00048857,0.00048666,0.00048342,0.00047922,0.00047724,0.00047671,0.00047344,0.00046878,0.00046863,0.00046402,0.00045981,0.00045789
17,0.00336499,0.00320239,0.00307503,0.00293638,0.00281857,0.0026676,0.00256996,0.00252865,0.00259349,0.00254125,0.0024764,0.00242974,0.00241168,0.00276876,0.00250674,0.00245089,0.00234939,0.0026838,0.0022623,0.00230955,0.00161552,0.0014137,0.0013285,0.00123256,0.00113525,0.00107888,0.00102922,0.0009986,0.00098154,0.00095114,0.00092512,0.00088968,0.0008519,0.00082281,0.0008181,0.00079919,0.00078957,0.00078783,0.00078001,0.00077264,0.00072818,0.00070199,0.00068356,0.00062096,0.00058709,0.00057625,0.00055883,0.00054422,0.00053883,0.00056258,0.00055759,0.00055567,0.00055092,0.00054958,0.00054788,0.00054251,0.00054009,0.00053942,0.00053733,0.00053393,0.00052936,0.00052717,0.00052659,0.00052315,0.00051812,0.00051781,0.00051302,0.00050844,0.00050642
18,0.00355178,0.00338376,0.0032531,0.00311001,0.00298878,0.00283193,0.00273103,0.00268691,0.0027513,0.00269307,0.00262756,0.00257755,0.00255754,0.00291925,0.00264968,0.00259033,0.00248462,0.00282341,0.00239144,0.00243719,0.00172655,0.00151714,0.00142687,0.00132495,0.00122087,0.00116057,0.00110802,0.00107564,0.00105744,0.00102571,0.00099731,0.00095954,0.00091922,0.0008882,0.00088341,0.0008644,0.00085477,0.00085407,0.0008469,0.00084007,0.0007922,0.00076329,0.00074133,0.00067523,0.00063835,0.0006269,0.00060829,0.0005927,0.00058729,0.0006143,0.00060911,0.0006071,0.00060232,0.00060099,0.00059931,0.00059372,0.00059121,0.00059059,0.00058831,0.0005847,0.00057975,0.00057735,0.00057671,0.00057305,0.00056763,0.00056718,0.00056214,0.00055717,0.00055504
19,0.00371103,0.00353893,0.00340546,0.00325917,0.00313506,0.002974,0.0028711,0.0028274,0.00289688,0.00283282,0.00277119,0.00272006,0.00270009,0.00308055,0.00279891,0.00273761,0.00262774,0.002984,0.00253178,0.0025808,0.00183672,0.00161834,0.00152464,0.00141859,0.0013097,0.00124631,0.00119142,0.00115747,0.0011382,0.00110519,0.00107442,0.00103422,0.00099135,0.00095819,0.00095279,0.0009331,0.00092288,0.00092243,0.00091514,0.0009081,0.00085682,0.0008251,0.00079958,0.00072998,0.00069002,0.00067769,0.00065764,0.00064086,0.00063512,0.00066468,0.00065908,0.0006568,0.00065183,0.00065037,0.00064858,0.00064268,0.00064001,0.00063937,0.00063685,0.000633,0.00062765,0.00062499,0.00062426,0.00062035,0.00061452,0.00061389,0.00060858,0.00060318,0.00060088
20,0.00384368,0.00366854,0.00353261,0.0033841,0.0032575,0.00309356,0.00298957,0.0029484,0.00302625,0.00295729,0.00290203,0.00285141,0.00283286,0.00324041,0.00294463,0.00288272,0.00276916,0.00315059,0.00267306,0.00272849,0.00194212,0.00171473,0.00161917,0.00151077,0.00139903,0.00133341,0.00127676,0.00124149,0.00122127,0.00118707,0.00115397,0.00111135,0.00106598,0.00103054,0.00102406,0.00100318,0.00099181,0.00099085,0.00098273,0.00097475,0.00092018,0.00088564,0.00085662,0.00078361,0.00074057,0.00072711,0.00070543,0.00068729,0.0006809,0.00071227,0.00070606,0.00070333,0.00069801,0.00069629,0.00069428,0.00068798,0.00068508,0.00068435,0.00068156,0.00067744,0.00067166,0.00066874,0.00066786,0.00066369,0.00065743,0.0006566,0.00065097,0.00064513,0.00064263
21,0.00395822,0.0037805,0.00364215,0.0034918,0.00336283,0.00319664,0.00309186,0.00305388,0.00314095,0.00306834,0.00301958,0.00297018,0.00295361,0.00339045,0.0030805,0.00301873,0.00290198,0.00331061,0.00280708,0.00287002,0.0020401,0.0018044,0.00170798,0.0015984,0.0014852,0.00141803,0.00136006,0.00132369,0.00130264,0.00126734,0.00123207,0.00118712,0.00113939,0.00110167,0.00109384,0.00107143,0.00105858,0.0010566,0.00104716,0.00103779,0.00098012,0.00094287,0.00091052,0.00083431,0.00078831,0.00077358,0.0007502,0.00073064,0.00072344,0.00075602,0.0007491,0.00074581,0.00074006,0.000738,0.0007357,0.00072897,0.00072579,0.00072493,0.00072185,0.00071746,0.00071126,0.00070806,0.00070703,0.00070258,0.0006959,0.00069485,0.0006889,0.00068263,0.00067991
22,0.00406703,0.00388649,0.00374544,0.00359297,0.00346143,0.00329278,0.00318688,0.00315123,0.00324588,0.00317101,0.00312648,0.00307797,0.00306299,0.00352502,0.00320281,0.00314114,0.00302164,0.00345363,0.00292766,0.00299701,0.00212957,0.00188677,0.00178963,0.00167909,0.00156484,0.00149638,0.00143728,0.00139992,0.0013781,0.00134177,0.00130453,0.00125746,0.00120757,0.00116772,0.00115852,0.00113458,0.00112022,0.00111709,0.00110625,0.0010954,0.00103491,0.00099517,0.00095979,0.00088066,0.00083192,0.00081596,0.00079097,0.00077005,0.00076202,0.00079554,0.00078791,0.00078407,0.00077787,0.00077547,0.00077286,0.00076572,0.00076227,0.00076128,0.00075793,0.00075326,0.00074669,0.00074322,0.00074204,0.00073732,0.00073026,0.00072899,0.00072275,0.00071607,0.00071313
23,0.0041834,0.00399912,0.0038548,0.00369933,0.00356469,0.00339259,0.0032848,0.00325042,0.0033514,0.00327465,0.00323202,0.00318355,0.00316954,0.00365401,0.00331981,0.0032575,0.00313484,0.00358769,0.0030405,0.00311505,0.00221226,0.00196197,0.00186334,0.00175105,0.00163505,0.00156511,0.00150469,0.00146632,0.00144384,0.00140644,0.00136756,0.00131856,0.00126674,0.00122507,0.00121489,0.0011896,0.00117408,0.00117008,0.00115822,0.00114621,0.00108324,0.00104143,0.00100377,0.00092163,0.00087043,0.00085346,0.00082711,0.00080503,0.00079634,0.00083088,0.00082267,0.00081842,0.00081183,0.00080918,0.00080635,0.00079882,0.00079515,0.00079405,0.00079048,0.00078558,0.00077867,0.00077498,0.00077368,0.00076873,0.00076132,0.0007458,0.00074303,0.00074636,0.00074324
24,0.00431244,0.0041233,0.00397506,0.00381552,0.00367718,0.0035004,0.00338992,0.00335621,0.00346355,0.00338443,0.00334242,0.00329324,0.00327975,0.00378746,0.00343958,0.00337571,0.0032489,0.00372342,0.00315281,0.00323216,0.00229046,0.00203094,0.00192976,0.00181451,0.00169564,0.00162383,0.00156174,0.00152228,0.00149925,0.00146064,0.00142048,0.00136974,0.00131617,0.00127301,0.00126241,0.00123602,0.00121981,0.00121538,0.00120303,0.00119032,0.00112518,0.00108176,0.00104277,0.00095732,0.00090391,0.00088623,0.00085881,0.00083582,0.00082671,0.00086249,0.00085389,0.00084943,0.00084251,0.00083974,0.00083679,0.0008289,0.00082509,0.00082394,0.00082018,0.00081511,0.0008079,0.00080405,0.00080268,0.00079753,0.00078982,0.00074,0.00074647,0.00077423,0.00077096
25,0.00445507,0.00425998,0.00410718,0.00394253,0.0037999,0.00361725,0.00350323,0.00346911,0.00358171,0.00350008,0.00345668,0.00340586,0.00339218,0.00392085,0.00355905,0.00349269,0.00336104,0.00385517,0.00326161,0.00334449,0.00236479,0.00209511,0.00199026,0.00187083,0.00174786,0.00167371,0.00160956,0.0015689,0.00154535,0.00150544,0.00146425,0.00141195,0.00135678,0.00131244,0.00130191,0.00127472,0.00125827,0.0012539,0.00124158,0.00122866,0.00116159,0.00111701,0.00107738,0.0009885,0.00093316,0.00091503,0.00088682,0.00086314,0.00085384,0.0008911,0.00088228,0.00087778,0.00087063,0.00086786,0.00086487,0.00085669,0.00085277,0.00085162,0.00084774,0.00084253,0.00083508,0.0008311,0.00082969,0.00082438,0.00081641,0.00072437,0.00074332,0.00080033,0.00079696
26,0.00460632,0.00440449,0.00424663,0.00407614,0.00392878,0.00373944,0.00362123,0.00358539,0.00370117,0.00361762,0.00357032,0.00351703,0.00350238,0.00404699,0.0036728,0.00360334,0.00346676,0.00397584,0.00336269,0.00344734,0.00243541,0.00215592,0.0020467,0.00192231,0.00179446,0.00171767,0.00165123,0.00160927,0.00158518,0.00154391,0.00150186,0.00144811,0.00139147,0.00134612,0.00133592,0.00130817,0.00129174,0.00128771,0.00127571,0.00126289,0.00119405,0.00114854,0.00110863,0.00101641,0.00095937,0.00094094,0.00091212,0.00088791,0.00087857,0.00091745,0.00090851,0.00090408,0.00089674,0.00089404,0.00089108,0.00088264,0.00087867,0.00087755,0.00087358,0.00086825,0.00086059,0.00085651,0.00085511,0.00084966,0.00084145,0.00071134,0.00074346,0.00082498,0.00082154
27,0.00475892,0.00454997,0.00438676,0.0042101,0.00405775,0.00386144,0.00373861,0.00369959,0.00381558,0.00373162,0.00367745,0.00362107,0.0036047,0.00415761,0.00377441,0.00370167,0.0035608,0.00407766,0.0034513,0.00353552,0.00250216,0.00221467,0.00210094,0.00197143,0.00183858,0.00175909,0.00169032,0.00164703,0.00162235,0.00157974,0.00153685,0.00148174,0.00142369,0.00137739,0.00136751,0.00133925,0.00132287,0.0013192,0.00130752,0.00129482,0.00122432,0.00117794,0.00113777,0.00104249,0.00098392,0.00096523,0.00093585,0.00091116,0.00090179,0.0009422,0.00093318,0.00092882,0.00092133,0.0009187,0.00091577,0.00090709,0.00090308,0.00090199,0.00089794,0.0008925,0.00088465,0.00088049,0.00087908,0.0008735,0.00086509,0.00071314,0.00075656,0.00084826,0.00084475
28,0.00490742,0.00469124,0.0045225,0.00433958,0.00418211,0.00397885,0.00385124,0.00380801,0.00392187,0.00383817,0.00377576,0.003716,0.00369744,0.00425257,0.00386343,0.00378754,0.00364313,0.00416208,0.00352798,0.00361024,0.00256475,0.00227113,0.00215311,0.00201878,0.00188126,0.0017992,0.0017282,0.00168363,0.00165833,0.00161441,0.00157071,0.0015143,0.00145489,0.00140766,0.00139798,0.00136914,0.0013527,0.00134924,0.00133772,0.00132501,0.00125292,0.00120577,0.00116536,0.00106723,0.00100724,0.00098825,0.0009583,0.00093314,0.00092369,0.00096541,0.00095627,0.00095194,0.00094428,0.0009417,0.00093877,0.00092987,0.0009258,0.00092473,0.00092059,0.00091505,0.00090702,0.00090277,0.00090136,0.00089566,0.00088704,0.00072591,0.00078076,0.00086986,0.00086628
29,0.00504744,0.00482408,0.00464973,0.00446063,0.00429799,0.00408802,0.00395567,0.00390808,0.00401914,0.00393554,0.00386537,0.00380238,0.00378167,0.00433738,0.00394358,0.0038649,0.00371744,0.00423692,0.00359708,0.0036772,0.00262297,0.00232433,0.0022025,0.0020639,0.00192241,0.00183812,0.0017651,0.00171933,0.00169348,0.00164827,0.00160385,0.00154619,0.0014855,0.00143733,0.00142772,0.00139811,0.00138144,0.00137791,0.0013663,0.00135333,0.00127977,0.00123186,0.0011914,0.00109048,0.00102915,0.00100981,0.00097927,0.00095359,0.00094397,0.00098668,0.00097737,0.00097304,0.00096516,0.00096257,0.00095961,0.00095046,0.00094631,0.00094524,0.00094102,0.00093536,0.00092715,0.00092282,0.0009214,0.00091556,0.00090676,0.0007377,0.00080663,0.00088922,0.00088557
30,0.00517778,0.00494729,0.00476722,0.00457197,0.00440409,0.00418761,0.00405054,0.0039986,0.0041067,0.00402333,0.00394561,0.00387962,0.00385689,0.00441281,0.00401496,0.00393379,0.00378361,0.00430327,0.0036585,0.00373659,0.00267501,0.00237204,0.00224688,0.00210456,0.00195984,0.0018737,0.00179891,0.00175208,0.00172576,0.00167932,0.00163436,0.00157557,0.00151376,0.00146473,0.00145509,0.00142459,0.00140757,0.00140375,0.00139184,0.00137844,0.0013036,0.00125518,0.00121488,0.00111135,0.00104882,0.0010291,0.00099796,0.00097175,0.00096189,0.00100527,0.00099576,0.00099138,0.00098324,0.00098062,0.0009776,0.00096818,0.00096393,0.00096284,0.00095854,0.00095277,0.00094439,0.00093998,0.00093854,0.00093258,0.00092359,0.0007483,0.00083213,0.00090571,0.00090198
31,0.00529919,0.00506151,0.00487555,0.00467405,0.00450082,0.00427783,0.00413597,0.00407978,0.0041852,0.00410236,0.00401701,0.00394818,0.00392355,0.00448047,0.00407839,0.00399487,0.00384205,0.00436262,0.0037125,0.00378887,0.00271922,0.00241207,0.00228388,0.00213823,0.00199092,0.00190329,0.00182699,0.00177924,0.00175255,0.00170501,0.00165974,0.00160006,0.00153737,0.00148767,0.00147801,0.00144663,0.00142924,0.00142502,0.00141274,0.00139884,0.00132305,0.00127432,0.00123445,0.0011286,0.00106509,0.00104503,0.00101335,0.00098666,0.00097654,0.00102035,0.00101063,0.00100619,0.00099779,0.00099513,0.00099203,0.00098237,0.00097802,0.0009769,0.00097252,0.00096664,0.00095813,0.00095365,0.00095219,0.00094611,0.00093696,0.00075757,0.00085527,0.00091878,0.00091497
