age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00332232,0.00318622,0.00307117,0.00295299,0.00285323,0.0027352,0.00266092,0.00266799,0.00282746,0.0028384,0.00276504,0.00275716,0.00276545,0.00335296,0.00300795,0.00296947,0.00285045,0.00339912,0.00280837,0.00292176,0.00193942,0.00168781,0.00160725,0.00151525,0.00142912,0.00137644,0.00129014,0.00120802,0.00115527,0.00108718,0.00107608,0.0010382,0.00098129,0.00090182,0.00090307,0.00089983,0.0008889,0.00086225,0.00083085,0.00078008,0.00074087,0.00072095,0.0007354,0.00066756,0.0006678,0.00067431,0.00067285,0.00068416,0.00069273,0.00070989,0.00070432,0.00070339,0.00069558,0.00069327,0.00068826,0.00067983,0.00067077,0.000665,0.00066046,0.00065608,0.00065349,0.00065393,0.00064884,0.00063873,0.00062631,0.00062025,0.00060773,0.00059776,0.00058827
11,0.00306104,0.00293727,0.00283189,0.00272314,0.00262906,0.00252359,0.00245644,0.00245824,0.00259219,0.00259964,0.00253367,0.00252531,0.00253096,0.00303835,0.00273921,0.00270537,0.00260164,0.00307515,0.00256263,0.00265924,0.0018087,0.00158939,0.00151772,0.0014353,0.00135774,0.0013094,0.00123237,0.00115865,0.00111039,0.00104924,0.00103689,0.00100175,0.00094972,0.00087748,0.0008761,0.00087159,0.00085968,0.00083464,0.00080494,0.00075875,0.00072156,0.00070131,0.00070978,0.00064923,0.00064719,0.00065133,0.00064828,0.0006565,0.00066271,0.00067741,0.0006716,0.00066998,0.00066258,0.00065999,0.0006558,0.00064781,0.00063964,0.00063464,0.00062983,0.00062499,0.00062188,0.00062189,0.00061752,0.00060925,0.00059882,0.00059307,0.00058214,0.00057376,0.00056545
12,0.00293668,0.00282007,0.00272029,0.00261823,0.00252732,0.00242578,0.00236369,0.00236678,0.00249143,0.00249522,0.00243797,0.00243043,0.00243593,0.00291237,0.0026331,0.00260234,0.00250636,0.00295082,0.00247081,0.00256214,0.00176648,0.00156274,0.00149688,0.00142102,0.00134906,0.00130311,0.00123215,0.00116416,0.00111859,0.00106185,0.00104797,0.00101397,0.00096472,0.00089663,0.00089285,0.00088686,0.0008737,0.00084918,0.00082,0.00077624,0.0007395,0.00071802,0.00072131,0.00066497,0.00066087,0.00066286,0.00065814,0.00066386,0.00066813,0.00068119,0.00067497,0.00067259,0.00066537,0.00066229,0.00065809,0.00065109,0.00064292,0.00063831,0.00063386,0.00062863,0.00062475,0.00062414,0.0006202,0.00061258,0.00060311,0.00059822,0.0005879,0.00057998,0.00057275
13,0.00293628,0.00282279,0.00272566,0.00262671,0.00253807,0.00243764,0.00237583,0.00239046,0.00253505,0.00252686,0.00249244,0.00248911,0.00249955,0.00302173,0.00272354,0.00269474,0.00259635,0.00308369,0.00256686,0.00267227,0.00181456,0.00160237,0.00153944,0.00146676,0.00139756,0.0013524,0.00128444,0.00121936,0.00117505,0.00112048,0.001105,0.00107105,0.00102266,0.0009561,0.00095048,0.00094344,0.00092904,0.00090454,0.00087524,0.00083225,0.00079474,0.00077141,0.00077026,0.0007157,0.00071001,0.00071051,0.00070435,0.00070836,0.00071144,0.00072392,0.00071724,0.00071423,0.00070682,0.00070345,0.00069896,0.0006922,0.00068452,0.00067962,0.00067524,0.00067025,0.00066564,0.00066423,0.00066011,0.00065275,0.00064325,0.00063828,0.00062882,0.00062053,0.00061334
14,0.0030425,0.002929,0.00283236,0.00273382,0.00264545,0.00254505,0.0024841,0.00251617,0.0027092,0.00267774,0.002687,0.00269175,0.00271255,0.00335794,0.00300208,0.00297432,0.00286381,0.00346664,0.00284339,0.00298269,0.00194566,0.00170135,0.00163873,0.0015663,0.00149694,0.00145122,0.00138396,0.00131925,0.00127456,0.00122076,0.00120342,0.0011689,0.00112006,0.00105276,0.0010458,0.00103866,0.00102327,0.00099858,0.00096891,0.0009256,0.00088648,0.00086071,0.000855,0.00080127,0.00079451,0.00079425,0.00078708,0.0007902,0.0007927,0.00080574,0.00079855,0.00079498,0.00078751,0.00078341,0.00077895,0.00077211,0.00076419,0.00075976,0.00075481,0.00074986,0.00074522,0.00074312,0.00073807,0.00073037,0.00072044,0.00071457,0.00070497,0.0006968,0.00068886
15,0.00323874,0.00312306,0.00302535,0.00292518,0.0028357,0.0027331,0.00267491,0.00273133,0.0029837,0.0029229,0.00299182,0.00300658,0.00304116,0.0038599,0.00342069,0.003393,0.00326368,0.0040291,0.00325368,0.00343931,0.00214678,0.00185448,0.00178996,0.00171508,0.001643,0.00159527,0.00152692,0.00146057,0.0014139,0.0013595,0.00134045,0.00130483,0.00125455,0.00118474,0.00117686,0.00117068,0.00115483,0.00113007,0.00109991,0.00105563,0.00101435,0.00098586,0.00097575,0.0009221,0.00091491,0.00091469,0.00090702,0.00091019,0.00091282,0.00092741,0.00091986,0.00091584,0.00090813,0.00090386,0.00089861,0.00089223,0.0008836,0.00087913,0.00087456,0.000869,0.00086423,0.00086239,0.00085579,0.00084701,0.00083609,0.00082897,0.00081828,0.00080928,0.00080128
16,0.00350302,0.00338374,0.00328399,0.00318077,0.0030891,0.00298287,0.00292711,0.00301334,0.00333304,0.00323138,0.0033658,0.00339665,0.00344592,0.00446121,0.00392625,0.00389785,0.00374616,0.0046957,0.00374675,0.00398389,0.00239987,0.00205175,0.00198394,0.00190472,0.00182798,0.0017773,0.00170612,0.00163675,0.00158702,0.00153059,0.0015098,0.00147294,0.00142029,0.00134656,0.00133818,0.00133353,0.00131772,0.00129298,0.0012623,0.00121633,0.00117264,0.00114136,0.00112719,0.00107293,0.00106592,0.00106632,0.00105861,0.00106263,0.00106603,0.00108293,0.00107498,0.00107075,0.00106145,0.0010579,0.0010529,0.00104581,0.00103704,0.00103222,0.00102749,0.00102257,0.00101694,0.00101542,0.00100854,0.00099713,0.00098464,0.00097593,0.00096381,0.00095302,0.00094403
17,0.00380857,0.00368469,0.00358212,0.00347512,0.00338027,0.00326941,0.00321543,0.00333023,0.00372002,0.00357896,0.00376139,0.00381126,0.00388148,0.00508914,0.00445952,0.00442982,0.00425541,0.00538514,0.00426537,0.00455253,0.0026819,0.00227809,0.00220634,0.00212194,0.00203954,0.0019852,0.00190991,0.00183609,0.0017827,0.00172315,0.00170026,0.00166167,0.00160612,0.00152707,0.00151838,0.00151543,0.0014995,0.00147464,0.00144319,0.00139479,0.00134821,0.00131417,0.0012964,0.0012408,0.00123429,0.0012357,0.00122803,0.00123336,0.00123794,0.00125764,0.00124916,0.00124461,0.0012322,0.00122774,0.00122522,0.001219,0.00120859,0.00120429,0.00119901,0.00119409,0.00118919,0.00118718,0.00118052,0.001168,0.00115137,0.00114105,0.00112723,0.0011145,0.00110359
18,0.00413669,0.00400744,0.00390097,0.00378953,0.00369071,0.00357439,0.00352267,0.00367419,0.00415343,0.00397365,0.00421568,0.00427042,0.00437056,0.00583319,0.005083,0.00505256,0.00484974,0.00620871,0.00487257,0.00522399,0.00298995,0.00251619,0.00244019,0.00235045,0.00226232,0.00220399,0.00212342,0.00204401,0.00198602,0.00192278,0.00189753,0.00185631,0.001797,0.00171176,0.0017024,0.001701,0.00168452,0.00165867,0.00162593,0.00157428,0.00152435,0.00148709,0.00146586,0.0014085,0.00140259,0.00140495,0.00139722,0.00140378,0.00140959,0.00143214,0.00142306,0.00141793,0.00140281,0.00139318,0.00139107,0.00139014,0.00137997,0.00137444,0.00136964,0.00136424,0.00135926,0.00135868,0.00135015,0.00133889,0.00132007,0.00130498,0.00128959,0.00127491,0.00126216
19,0.00446312,0.00432781,0.00421637,0.00409974,0.00399611,0.0038741,0.00382556,0.00402575,0.00462278,0.00439546,0.00472499,0.00478901,0.00490241,0.00669693,0.00580837,0.00577719,0.00553858,0.00719848,0.00557973,0.0060163,0.00330763,0.00274446,0.00266426,0.0025694,0.00247612,0.00241392,0.00232747,0.00224146,0.00217822,0.00211051,0.00208295,0.00203847,0.00197422,0.00188174,0.00187141,0.00187088,0.00185307,0.00182515,0.00178987,0.00173417,0.0016804,0.00163938,0.0016141,0.00155486,0.00154928,0.00155215,0.00154386,0.00155125,0.00155772,0.00158258,0.00157276,0.00156688,0.00155099,0.00153571,0.00152611,0.00152989,0.0015249,0.00152025,0.00151391,0.00150917,0.00150353,0.00150326,0.00149452,0.00148175,0.00146551,0.00144774,0.00142747,0.00141131,0.00139699
