age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,0.00352621,0.00343478,0.00334914,0.00326798,0.00319076,0.00311448,0.00307011,0.0031034,0.0032933,0.00330991,0.00327634,0.00329816,0.00332034,0.0039607,0.00362212,0.00360378,0.00348938,0.00408628,0.00348367,0.00361766,0.00261791,0.00237064,0.00229804,0.00221026,0.00213176,0.00207452,0.00195146,0.00181472,0.00171864,0.00161428,0.00160022,0.00155063,0.00146519,0.00132514,0.00132093,0.00133382,0.00131496,0.0012641,0.00120583,0.00110994,0.00105977,0.00102537,0.00103279,0.0009645,0.00098235,0.00099982,0.00100548,0.00103528,0.00105429,0.00107501,0.00106537,0.00106123,0.00105076,0.00104539,0.00103719,0.00102559,0.00100976,0.00099981,0.00099102,0.0009829,0.00097716,0.00097474,0.00096604,0.00095246,0.0009351,0.00091967,0.00089853,0.00088093,0.00086328
11,0.00324536,0.00315991,0.00307994,0.00300396,0.00293162,0.00286048,0.00281776,0.00284696,0.00301812,0.0030251,0.00300193,0.00302109,0.00304091,0.00362206,0.00331508,0.00329828,0.00319525,0.00373681,0.00318957,0.00331159,0.00240484,0.00218161,0.00211696,0.00203899,0.00196891,0.00191718,0.00180868,0.00168786,0.00160187,0.0015095,0.00149534,0.00145082,0.00137472,0.00124997,0.00124389,0.00125374,0.00123494,0.00118855,0.00113568,0.00105044,0.00100483,0.00097252,0.00097556,0.00091588,0.00093052,0.00094437,0.00094791,0.00097244,0.00098771,0.00100454,0.00099535,0.00099096,0.00098147,0.00097621,0.00096867,0.00095843,0.00094414,0.00093526,0.0009274,0.00092012,0.00091491,0.0009128,0.0009052,0.0008935,0.00087854,0.00086521,0.0008471,0.00083189,0.00081662
12,0.00311241,0.00303042,0.00295364,0.00288056,0.00281093,0.00274269,0.00270084,0.00273004,0.00289536,0.00289988,0.0028819,0.00290038,0.00291996,0.00348031,0.00318563,0.00317,0.00307271,0.00359472,0.00306812,0.00318709,0.00231544,0.00210329,0.00204395,0.00197256,0.00190796,0.00185966,0.00176105,0.00165095,0.00157149,0.001487,0.00147232,0.00143091,0.00136077,0.00124566,0.0012377,0.001245,0.00122553,0.00118146,0.00113155,0.00105275,0.00100948,0.00097769,0.00097681,0.00092243,0.00093474,0.00094565,0.00094729,0.00096788,0.00098027,0.00099414,0.00098494,0.00098011,0.00097109,0.00096568,0.00095841,0.000949,0.00093547,0.00092716,0.00091981,0.000913,0.00090803,0.00090613,0.0008991,0.00088848,0.0008749,0.00086272,0.00084642,0.00083256,0.00081863
13,0.00311859,0.0030385,0.00296351,0.00289202,0.00282384,0.00275715,0.0027181,0.00276521,0.00296788,0.00295906,0.00297148,0.00299689,0.00302546,0.0036826,0.00334417,0.00333015,0.0032253,0.00383785,0.00322943,0.00337613,0.0023667,0.00213224,0.00207592,0.00200817,0.00194645,0.0018998,0.00180675,0.0017025,0.00162629,0.00154594,0.0015306,0.00149074,0.00142366,0.00131303,0.00130351,0.00130923,0.00128885,0.00124546,0.00119656,0.00112044,0.00107774,0.00104525,0.00104111,0.00098928,0.00100046,0.00100953,0.00100986,0.00102825,0.00103894,0.00105109,0.00104158,0.00103622,0.00102734,0.00102162,0.00101432,0.00100528,0.00099175,0.00098356,0.00097632,0.00096966,0.00096469,0.00096296,0.00095598,0.00094564,0.00093238,0.00092033,0.00090459,0.00089099,0.00087735
14,0.00325236,0.00317287,0.00309869,0.0030278,0.00296014,0.00289396,0.0028608,0.00295025,0.00324772,0.00319975,0.0032887,0.00333129,0.00338151,0.00429036,0.00383492,0.00382331,0.00369416,0.00454248,0.00371786,0.00393356,0.00255925,0.00225976,0.0022046,0.00213809,0.00207718,0.00203061,0.00193974,0.00183731,0.00176142,0.00168244,0.00166621,0.00162687,0.00156069,0.00145036,0.00143947,0.00144491,0.00142354,0.00137971,0.0013304,0.00125399,0.0012106,0.00117636,0.00116877,0.00111833,0.0011296,0.00113795,0.0011376,0.00115541,0.0011655,0.00117707,0.00116706,0.0011611,0.0011522,0.00114604,0.0011385,0.00112952,0.00111534,0.00110691,0.00109944,0.00109271,0.00108755,0.00108602,0.00107859,0.00106785,0.00105398,0.00104107,0.00102483,0.0010105,0.00099618
15,0.00349967,0.00341979,0.00334571,0.00327471,0.00320694,0.00314054,0.00311531,0.00326287,0.00369247,0.00358889,0.00378376,0.00385018,0.00393014,0.0051915,0.00457123,0.00456251,0.0043979,0.00557648,0.00444808,0.00475946,0.00287318,0.00248049,0.00242495,0.00235767,0.00229579,0.00224804,0.00215644,0.00205239,0.00197434,0.00189438,0.00187718,0.00183764,0.00177064,0.00165709,0.00164519,0.00165177,0.0016296,0.00158465,0.00153393,0.00145486,0.00140993,0.00137326,0.00136222,0.00131242,0.00132516,0.00133403,0.00133377,0.00135264,0.00136331,0.00137548,0.00136489,0.00135836,0.00134941,0.00134276,0.00133484,0.0013257,0.0013103,0.00130135,0.0012934,0.00128641,0.00128097,0.00127971,0.0012714,0.0012596,0.00124419,0.00122945,0.00121169,0.00119564,0.00117967
16,0.00384294,0.00376156,0.0036867,0.00361478,0.00354613,0.00347871,0.00346203,0.00367448,0.00425318,0.0040867,0.00439995,0.00449316,0.00460632,0.00626678,0.00545925,0.00545349,0.00524778,0.0068003,0.00532723,0.00574629,0.00327884,0.00277925,0.00272201,0.00265223,0.00258789,0.00253788,0.00244313,0.00233459,0.0022523,0.00216946,0.00215123,0.00211092,0.00204171,0.0019221,0.00190955,0.0019185,0.00189577,0.0018492,0.00179638,0.00171287,0.00166584,0.00162633,0.00161193,0.00156231,0.0015778,0.00158828,0.00158883,0.00161015,0.00162239,0.00163619,0.00162505,0.00161804,0.00160904,0.00160192,0.00159354,0.00158413,0.00156703,0.00155741,0.00154879,0.00154144,0.00153564,0.00153479,0.00152524,0.00151184,0.00149413,0.00147675,0.00145661,0.00143804,0.00141963
17,0.00425875,0.00417416,0.00409699,0.00402272,0.00395186,0.00388209,0.0038728,0.00414757,0.00487159,0.0046438,0.00507077,0.00518986,0.00533497,0.00738679,0.00639491,0.00639161,0.00614461,0.0080638,0.00625177,0.00677569,0.00373732,0.00313141,0.00307115,0.00299724,0.00292902,0.00287566,0.00277553,0.00265992,0.00257147,0.00248399,0.0024645,0.00242277,0.00234999,0.00222185,0.00220869,0.00222081,0.00219747,0.00214868,0.00209305,0.00200359,0.0019539,0.00191114,0.0018933,0.00184352,0.00186254,0.00187535,0.00187715,0.00190184,0.0019163,0.00193242,0.00192073,0.00191326,0.0019042,0.00189661,0.0018877,0.00187791,0.00185882,0.00184841,0.00183901,0.0018312,0.001825,0.00182462,0.00181364,0.00179831,0.00177783,0.00175733,0.00173432,0.00171274,0.00169141
18,0.00473138,0.00464109,0.00455921,0.00448031,0.00440511,0.00433094,0.00432973,0.0046813,0.00558627,0.00528591,0.00584959,0.00600061,0.00618556,0.00872708,0.0075041,0.00750363,0.00720459,0.00958242,0.00734587,0.00800061,0.00424657,0.00350704,0.0034424,0.00336278,0.00328924,0.00323141,0.00312382,0.00299873,0.00290225,0.00280849,0.00278723,0.00274324,0.00266544,0.00252646,0.0025123,0.00252781,0.00250341,0.00245149,0.00239204,0.00229524,0.00224208,0.00219539,0.00217361,0.00212333,0.0021461,0.00216136,0.00216441,0.00219276,0.00220962,0.00222823,0.00221584,0.00220779,0.00219857,0.0021904,0.00218081,0.00217056,0.00214936,0.00213799,0.00212771,0.00211934,0.00211265,0.00211266,0.0021002,0.00208289,0.00205958,0.0020359,0.00200991,0.00198526,0.00196096
19,0.00522997,0.00513099,0.00504143,0.00495503,0.00487278,0.00479166,0.00479981,0.00524987,0.0063881,0.00599714,0.00673359,0.0069255,0.00716216,0.01033706,0.00881505,0.00881808,0.00845185,0.01142276,0.00863703,0.00946092,0.00477954,0.00386723,0.00379691,0.00371019,0.00363005,0.00356665,0.00344982,0.00331331,0.00320725,0.00310575,0.003082,0.00303471,0.00295045,0.00279876,0.00278277,0.00280111,0.00277465,0.00271841,0.00265389,0.00254852,0.00249083,0.0024393,0.00241281,0.00236144,0.00238733,0.00240438,0.00240808,0.00243956,0.00245835,0.00247897,0.00246555,0.00245662,0.00244698,0.00243799,0.00242754,0.00241668,0.00239346,0.00238094,0.00236968,0.00236067,0.00235335,0.00235349,0.00233971,0.00232066,0.00229495,0.00226856,0.00224002,0.00221274,0.00218594
