age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,83063.97,83680.467,84276.396,84854.75,85408.485,85926.341,86357.641,86459.658,86074.46,86316.42,86344.784,86373.993,86351.086,84459.148,85486.855,85584.77,85925.725,84193.02,86053.444,85677.372,88799.358,89563.782,89784.941,90020.488,90257.85,90467.309,90734.381,90999.735,91226.012,91481.097,91662.104,91896.623,92180.221,92517.987,92761.113,93032.009,93318.755,93645.914,93972.123,94314.718,94617.281,94882.449,95072.618,95387.445,95546.978,95708.345,95856.472,95972.194,96073.159,96156.963,96245.203,96315.975,96386.836,96442.616,96494.742,96541.451,96591.044,96630.895,96662.993,96699.653,96730.273,96754.707,96786.415,96826.563,96868.844,96906.405,96954.612,96997.343,97040.463
11,82783.189,83404.979,84005.902,84589.047,85147.416,85670.004,86103.767,86202.791,85803.243,86043.426,86074.142,86101.495,86076.853,84139.511,85190.826,85289.9,85638.993,83864.31,85766.773,85381.023,88576.617,89360.146,89586.95,89829.423,90072.974,90286.923,90563.949,90840.503,91074.675,91338.321,91520.338,91758.812,92049.419,92398.94,92642.228,92911.722,93199.852,93531.142,93862.167,94212.894,94519.656,94787.713,94977.195,95297.803,95455.636,95615.352,95762.894,95875.898,95975.117,96057.031,96146.086,96217.195,96288.944,96345.179,96398.011,96445.727,96496.724,96537.445,96570.316,96607.685,96638.804,96663.434,96695.901,96737.234,96781.04,96819.959,96870.024,96914.308,96958.988
12,82520.439,83147.218,83752.848,84340.522,84903.278,85430.321,85866.502,85962.742,85549.912,85788.892,85821.284,85846.941,85820.68,83841.235,84914.366,85014.497,85371.014,83557.435,85498.833,85104.032,88367.805,89168.898,89400.759,89649.423,89898.54,90116.581,90402.446,90688.978,90930.282,91201.575,91384.636,91626.694,91923.604,92283.715,92527.349,92795.713,93085.265,93420.373,93755.823,94113.873,94424.508,94695.33,94884.525,95210.25,95366.652,95525.037,95672.192,95782.927,95880.724,95961.085,96050.934,96122.416,96194.985,96251.678,96305.172,96353.789,96406.079,96447.59,96481.164,96519.179,96550.76,96575.562,96608.706,96651.08,96696.227,96736.346,96788.033,96833.687,96879.744
13,82263.747,82895.294,83505.425,84097.443,84664.41,85195.718,85634.165,85726.875,85299.484,85537.947,85570.485,85594.188,85565.946,83541.513,84637.592,84738.653,85102.613,83247.506,85230.051,84825.225,88161.174,88980.26,89216.79,89471.167,89725.456,89947.347,90241.323,90537.047,90785.012,91063.378,91247.531,91492.944,91795.718,92165.729,92409.86,92677.28,92968.314,93307.082,93646.752,94011.666,94326.019,94599.598,94788.84,95119.288,95274.422,95431.699,95578.617,95687.379,95783.973,95863.005,95953.66,96025.559,96098.915,96156.086,96210.228,96259.685,96313.227,96355.493,96389.738,96428.366,96460.398,96485.352,96519.14,96562.487,96608.889,96650.143,96703.334,96750.275,96797.627
14,82002.123,82638.255,83252.703,83848.898,84419.923,84955.341,85395.634,85482.251,85034.82,85274.962,85303.081,85323.81,85292.299,83209.189,84334.363,84436.144,84808.724,82899.476,84934.541,84515.81,87944.313,88785.08,89026.053,89285.88,89545.132,89770.761,90072.443,90376.952,90631.371,90916.507,91101.801,91350.44,91658.849,92038.477,92283.212,92549.749,92842.32,93184.693,93528.51,93900.124,94218.159,94494.578,94684.165,95019.107,95173.008,95329.289,95476.049,95582.965,95678.459,95756.269,95847.759,95920.122,95994.249,96051.929,96106.725,96156.995,96211.813,96254.835,96289.752,96328.985,96361.471,96386.557,96421.005,96465.325,96512.989,96555.407,96610.091,96658.337,96706.995
15,81725.766,82366.317,82984.894,83585.101,84160.028,84699.411,85140.863,85217.128,84740.284,84986.03,85001.999,85018.024,84981.097,82815.721,83980.708,84082.917,84466.338,82481.213,84588.525,84149.334,87705.78,88574.909,88820.227,89085.412,89349.567,89578.928,89888.165,90201.363,90462.249,90754.065,90940.548,91192.343,91506.311,91895.593,92140.998,92406.568,92700.706,93046.686,93394.665,93773.035,94094.796,94374.198,94564.425,94903.699,95056.272,95211.541,95358.149,95463.183,95557.565,95634.141,95726.501,95799.37,95874.26,95932.483,95987.952,96039.03,96095.201,96139.007,96174.624,96214.47,96247.427,96272.617,96307.783,96353.137,96402.157,96445.859,96502.121,96551.78,96601.848
16,81426.301,82071.122,82693.639,83297.691,83876.361,84419.575,84861.347,84922.079,84404.341,84660.536,84654.946,84664.151,84619.212,82342.74,83560.671,83662.974,84060.036,81972.517,84176.184,83708.574,87436.437,88342.292,88591.961,88862.553,89131.672,89364.84,89681.694,90003.738,90271.289,90569.86,90757.572,91012.493,91332.062,91731.295,91977.385,92241.768,92537.458,92887.079,93239.287,93624.638,93950.209,94232.771,94423.914,94767.394,94918.408,95072.532,95218.913,95321.878,95415.028,95490.249,95583.508,95656.916,95732.554,95791.35,95847.52,95899.412,95957.061,96001.695,96038.057,96078.534,96111.986,96137.242,96173.216,96219.719,96270.265,96315.454,96373.467,96424.728,96476.388
17,81097.157,81746.153,82372.467,82980.237,83562.529,84109.479,84550.727,84590.634,84020.191,84291.828,84255.088,84255.31,84199.719,81782.672,83066.979,83169.054,83582.68,81365.739,83690.364,83186.246,87130.275,88081.619,88335.741,88611.916,88886.166,89123.297,89448.009,89779.274,90053.844,90359.39,90548.374,90806.431,91131.746,91541.441,91788.202,92051.071,92348.277,92701.603,93058.153,93450.836,93780.338,94066.257,94258.582,94606.162,94755.285,94908.038,95054.054,95154.653,95246.367,95320.03,95414.212,95488.181,95564.549,95623.945,95680.843,95733.564,95792.846,95838.363,95875.528,95916.663,95950.635,95975.906,96012.806,96060.612,96112.908,96159.845,96219.839,96272.952,96326.444
18,80733.48,81386.681,82016.762,82628.234,83214.132,83764.829,84204.711,84218.087,83582.079,83874.434,83796.382,83785.292,83716.202,81126.618,82491.862,82593.387,83026.802,80651.264,83123.45,82574.102,86783.193,87789.769,88048.545,88330.602,88610.261,88851.596,89184.578,89525.639,89807.737,90120.612,90310.937,90572.199,90903.518,91324.381,91571.808,91832.789,92131.489,92488.643,92849.716,93250.202,93583.808,93873.326,94067.12,94418.716,94565.568,94716.686,94862.178,94960.056,95050.095,95121.954,95217.087,95291.642,95368.724,95428.75,95486.415,95539.987,95601.074,95647.542,95685.574,95727.403,95761.924,95787.164,95825.114,95874.391,95928.685,95977.653,96039.886,96095.12,96150.706
19,80332.422,80990.04,81624.045,82239.384,82829.044,83383.666,83821.256,83800.989,83083.251,83402.669,83270.939,83245.651,83159.485,80357.289,81821.717,81922.313,82379.585,79809.027,82462.029,81856.562,86392.469,87466.701,87730.444,88018.801,88304.256,88550.124,88891.949,89243.561,89533.835,89854.528,90046.317,90310.935,90648.642,91081.56,91329.705,91588.447,91888.689,92249.889,92615.77,93024.649,93362.622,93656.054,93851.664,94207.243,94351.47,94500.72,94645.561,94740.381,94828.522,94898.352,94994.487,95069.675,95147.474,95208.178,95266.665,95321.119,95384.184,95431.686,95470.661,95513.226,95548.339,95573.515,95612.635,95663.542,95720.062,95771.321,95836.032,95893.639,95951.56
