age,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
10,84588.754,85216.277,85805.605,86374.208,86916.559,87447.175,87865.555,87961.18,87556.617,87793.762,87822.793,87867.312,87842.706,85917.609,86986.653,87077.654,87420.431,85645.019,87543.082,87146.758,90361.268,91133.872,91347.212,91570.617,91794.081,91983.22,92208.664,92419.313,92596.539,92811.13,92972.463,93183.65,93427.543,93699.899,93913.59,94168.44,94418.139,94694.733,94967.426,95243.682,95507.208,95724.55,95877.53,96161.802,96311.917,96456.538,96588.144,96702.136,96800.684,96865.713,96941.303,96994.244,97051.921,97096.985,97141.596,97178.761,97214.221,97243.0,97263.73,97294.303,97317.636,97336.485,97362.09,97392.664,97430.961,97454.682,97491.308,97523.846,97554.432
11,84319.186,84955.749,85552.705,86129.406,86678.621,87217.532,87641.011,87736.002,87319.662,87555.359,87590.414,87635.527,87610.375,85643.463,86737.032,86830.912,87182.428,85368.2,87308.285,86903.898,90192.079,90984.658,91204.592,91435.622,91666.259,91859.775,92092.437,92310.013,92491.701,92712.04,92874.29,93088.653,93337.382,93616.576,93830.083,94085.07,94335.626,94614.424,94889.784,95170.428,95437.397,95656.502,95808.275,96098.51,96248.613,96392.625,96524.362,96637.335,96735.102,96798.544,96874.634,96927.662,96986.036,97031.307,97076.335,97114.273,97150.546,97179.83,97201.001,97232.002,97255.597,97274.412,97300.461,97331.911,97371.296,97395.578,97433.324,97466.737,97498.172
12,84066.696,84711.534,85315.525,85899.682,86455.429,87001.957,87430.04,87524.588,87097.988,87332.596,87372.945,87418.641,87393.064,85389.014,86504.349,86600.774,86960.043,85111.366,87088.826,86677.309,90030.995,90841.372,91067.222,91305.13,91542.281,91739.861,91979.025,92202.866,92388.678,92614.231,92777.526,92994.88,93248.08,93533.57,93747.129,94002.385,94253.902,94534.801,94812.72,95097.414,95367.703,95588.642,95739.745,96035.385,96185.684,96329.307,96461.333,96573.558,96670.754,96732.811,96809.432,96862.618,96921.661,96967.177,97012.583,97051.223,97088.266,97117.997,97139.604,97171.075,97194.995,97213.828,97240.265,97272.468,97312.797,97337.581,97376.34,97410.528,97442.702
13,83820.197,84472.863,85083.53,85674.708,86236.742,86790.651,87223.097,87316.649,86879.367,87113.577,87157.821,87203.879,87177.669,85136.042,86272.977,86371.717,86738.465,84854.958,86869.745,86450.759,89869.939,90697.726,90929.074,91173.392,91416.653,91618.135,91863.363,92093.049,92282.786,92513.23,92677.708,92897.983,93155.468,93446.965,93660.766,93916.399,94168.984,94451.945,94732.39,95020.965,95294.573,95517.483,95668.371,95969.113,96119.778,96263.183,96395.642,96507.321,96604.095,96664.875,96742.066,96795.476,96855.188,96900.984,96946.78,96986.062,97023.848,97054.021,97076.043,97107.989,97132.306,97151.225,97178.036,97210.947,97252.173,97277.422,97317.119,97352.075,97384.931
14,83570.007,84230.283,84847.416,85445.391,86013.532,86574.7,87011.411,87102.703,86651.867,86887.184,86932.41,86978.287,86950.788,84864.927,86026.365,86127.257,86502.001,84577.525,86635.085,86206.685,89701.138,90548.033,90784.698,91035.233,91284.449,91489.797,91740.883,91976.232,92169.83,92404.998,92570.802,92794.0,93055.72,93353.153,93567.328,93823.371,94077.107,94362.113,94645.082,94937.487,95214.503,95439.568,95590.661,95896.351,96047.5,96190.785,96323.787,96435.039,96531.471,96590.973,96668.775,96722.463,96782.849,96828.973,96875.169,96915.081,96953.595,96984.199,97006.658,97039.063,97063.812,97082.887,97110.125,97143.744,97185.886,97211.644,97252.242,97287.975,97321.546
15,83307.969,83975.797,84599.286,85203.977,85778.139,86346.534,86787.264,86874.479,86405.584,86644.227,86685.942,86730.844,86701.023,84559.246,85750.573,85853.522,86237.412,84261.176,86371.404,85930.351,89517.787,90387.195,90629.201,90886.001,91141.253,91350.547,91607.461,91848.486,92046.02,92285.864,92453.137,92679.301,92945.304,93248.776,93463.405,93719.788,93974.712,94261.737,94547.234,94843.49,95124.056,95351.494,95503.203,95813.756,95965.444,96108.63,96242.233,96353.087,96449.19,96507.308,96585.755,96639.764,96700.832,96747.321,96793.948,96834.467,96873.751,96904.761,96927.662,96960.551,96985.736,97004.987,97032.769,97067.16,97110.282,97136.651,97178.202,97214.743,97249.063
16,83027.639,83703.052,84332.84,84944.264,85524.422,86100.125,86544.527,86625.322,86133.137,86378.041,86410.846,86453.636,86420.288,84208.216,85436.188,85541.158,85935.722,83894.457,86069.651,85612.045,89314.528,90210.839,90458.358,90721.663,90983.223,91196.641,91459.503,91706.361,91908.018,92152.609,92321.479,92550.675,92821.085,93130.836,93345.952,93602.519,93858.61,94147.611,94435.634,94735.815,95020.099,95250.135,95402.841,95718.232,95870.449,96013.485,96147.695,96258.094,96353.812,96410.354,96489.47,96543.823,96605.652,96652.474,96699.551,96740.682,96780.769,96812.199,96835.529,96868.894,96894.559,96913.955,96942.364,96977.702,97021.919,97049.032,97091.654,97129.123,97164.238
17,82724.684,83407.771,84043.838,84662.065,85248.244,85831.403,86279.152,86351.022,85829.95,86084.435,86103.491,86142.653,86104.284,83807.128,85078.76,85185.766,85592.642,83472.729,85725.585,85247.465,89087.894,90015.762,90269.044,90539.204,90807.463,91025.247,91294.3,91547.266,91753.304,92002.817,92173.426,92405.74,92680.741,92997.126,93212.729,93469.285,93726.499,94017.424,94307.979,94612.218,94900.414,95133.267,95287.307,95607.568,95760.256,95903.041,96037.835,96147.659,96242.882,96297.598,96377.412,96432.126,96494.93,96542.085,96589.471,96631.198,96672.168,96704.003,96727.792,96761.596,96787.741,96807.287,96836.32,96872.779,96918.359,96946.365,96990.2,97028.771,97064.814
18,82396.728,83087.621,83729.997,84355.126,84947.405,85538.221,85988.985,86049.157,85492.761,85759.998,85760.787,85795.306,85749.79,83350.775,84673.857,84782.902,85203.918,82990.341,85334.859,84831.839,88835.624,89800.253,90059.581,90336.979,90612.363,90834.796,91110.385,91369.842,91580.579,91835.26,92007.773,92243.35,92523.181,92846.654,93062.748,93319.094,93577.411,93870.253,94163.376,94471.873,94764.214,95000.12,95155.799,95481.01,95634.09,95776.506,95911.862,96020.97,96115.569,96168.181,96248.733,96303.84,96367.887,96415.659,96463.206,96505.223,96547.134,96579.402,96603.647,96637.906,96664.495,96684.141,96713.872,96751.435,96798.674,96827.875,96873.071,96912.924,96950.071
19,82043.219,82742.09,83390.879,84023.057,84621.568,85220.271,85673.654,85718.536,85118.475,85401.918,85378.311,85407.606,85353.184,82830.32,84214.085,84325.135,84762.577,82436.003,84890.127,84356.502,88556.362,89564.372,89830.034,90115.042,90397.948,90625.316,90907.859,91174.28,91390.104,91650.256,91824.846,92063.899,92348.89,92679.988,92896.609,93152.588,93412.045,93706.889,94002.698,94315.73,94612.494,94851.734,95009.38,95339.648,95493.05,95635.006,95770.928,95879.208,95973.077,96023.335,96104.674,96160.228,96225.672,96274.572,96322.613,96364.432,96407.012,96439.725,96464.471,96499.171,96526.234,96545.893,96576.416,96615.085,96663.953,96694.702,96741.56,96782.851,96821.259
20,81665.653,82372.718,83028.099,83667.514,84272.457,84879.282,85334.858,85360.413,84707.299,85010.674,84955.484,84978.334,84914.024,82244.475,83697.965,83810.215,84266.631,81805.492,84389.193,83818.563,88251.147,89309.92,89582.167,89875.126,90165.893,90398.46,90688.392,90962.31,91183.652,91449.622,91626.477,91869.242,92159.801,92499.15,92716.381,92971.887,93232.602,93529.624,93828.343,94146.271,94447.768,94690.663,94850.643,95186.109,95339.799,95481.252,95617.794,95725.183,95818.276,95866.002,95948.193,96004.259,96071.141,96121.469,96170.789,96212.429,96255.218,96288.042,96313.316,96348.493,96376.03,96395.706,96427.06,96466.934,96517.337,96549.579,96598.432,96641.46,96681.244
