"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0",0.037152213461582,0.0130838552189934,-0.0116406076940434,-0.0369490289448509,-0.06523315561423,-0.0896859249594817,-0.117034351950587,-0.14405466640982,-0.170902359749012,-0.198373707890442,-0.221486929017082,-0.248188434951109,-0.272548648443634,-0.29667535467011,-0.320998891650648
"1",0.0807026593064126,0.0456276913216866,0.0110368259916065,-0.0276322187160014,-0.0738563097393889,-0.109715076941088,-0.150823259637025,-0.198183433633828,-0.24639585455138,-0.286586347512732,-0.327554713357331,-0.375858506722372,-0.413849489886263,-0.455557711642624,-0.498992645895721
"2",0.0463229691681661,0.0175651783048565,-0.0124405457676726,-0.0472033351483656,-0.0850166727709025,-0.118157800276229,-0.153150526361792,-0.192693666063905,-0.230519474440234,-0.263699693501428,-0.296481382360641,-0.33706103871495,-0.36935440361396,-0.404021990798205,-0.439368719689281
"3",0.0184531972576334,-0.00558281813950678,-0.0296298028087225,-0.0580080741299875,-0.0888110730712821,-0.116667460540137,-0.145530143500674,-0.179376820404296,-0.207395430596772,-0.231275721913963,-0.254536823027889,-0.286125141640571,-0.308871035157266,-0.336339875847531,-0.364939996558799
"4",-0.00358973284197539,-0.022057219090156,-0.0411009347964288,-0.063626573752944,-0.087052483691437,-0.108990174158948,-0.132243393355173,-0.159669095154826,-0.179681981206353,-0.194361114644306,-0.208067989664578,-0.230488564681513,-0.243727396932434,-0.260513558406237,-0.281377310677493
"5",-0.0204742694412587,-0.0334175592835404,-0.0463283205291454,-0.0646278338354502,-0.0827802253893051,-0.0980619973981129,-0.116078329528917,-0.138410931556336,-0.150793883044594,-0.157511440041804,-0.162378424951249,-0.176973552291009,-0.181448355495546,-0.189895367970239,-0.199427978405805
"6",-0.032889422906953,-0.0403675962177577,-0.0480203703641813,-0.0612614718962696,-0.0762388338529734,-0.0878883466189739,-0.100358462866082,-0.118402879894692,-0.126008419701254,-0.126157746182663,-0.123836475686687,-0.131799197016471,-0.129430587142383,-0.131224770400478,-0.133753709685466
"7",-0.0416599076872037,-0.0445114839527072,-0.0477738892592425,-0.0573042350096298,-0.0685546408878963,-0.0790119777895706,-0.0895134382454605,-0.103200114935022,-0.107384444768558,-0.104781284281178,-0.0980837413166622,-0.101198263910049,-0.0939783572618857,-0.0919292579781299,-0.0899679956145194
"8",-0.0469163689099235,-0.0469956729235568,-0.047162999891416,-0.0540219748547361,-0.0630649025721057,-0.0712250452809275,-0.0821039270607988,-0.0951830376167511,-0.0968044943739361,-0.0927482055407793,-0.0853612606179626,-0.0869265110063386,-0.0767788464554622,-0.0727548431194434,-0.0694434436971276
"9",-0.0475468281359754,-0.0478546255640406,-0.0467587827735221,-0.0521860931269389,-0.0597686467655816,-0.0673621506809896,-0.0772928578185033,-0.0919860335267391,-0.0948393576748758,-0.0902177819837506,-0.0834045967340709,-0.0862325266893107,-0.0766631670533204,-0.0721478966650144,-0.0689439442950093
"10",-0.0448346673468789,-0.0464172979960713,-0.0468017536511987,-0.0520415828613778,-0.0590083207435885,-0.0661425071026303,-0.0761441264446816,-0.0905875527918747,-0.0966059490229529,-0.0948294665540743,-0.0889734802533608,-0.093196181236447,-0.0866208671110762,-0.0839747215860722,-0.0817803619422097
"11",-0.0410725254541697,-0.0435954879177736,-0.045671799848793,-0.0525430814697128,-0.0597665761062558,-0.0668349827860348,-0.0765738111755816,-0.0913106810759157,-0.0990068536869222,-0.100380959104568,-0.0979056741030018,-0.102944199447709,-0.0991520888819659,-0.0993694116641244,-0.0995838582964135
"12",-0.0360651711647586,-0.0409279039118218,-0.0437808124024066,-0.0520568223010187,-0.0605308669704758,-0.0677115284919267,-0.07704889238404,-0.0916910120764944,-0.100797719772097,-0.103951297145594,-0.103813209228539,-0.111184733711893,-0.109308422678356,-0.111265233219557,-0.114142266212354
"13",-0.0317928414781239,-0.0376377938532624,-0.0420559510413261,-0.0505369382126934,-0.0596658459940445,-0.0678856093664262,-0.0765981475711817,-0.0899819247054872,-0.0993909241612991,-0.103671491617012,-0.104712469638182,-0.112502802540324,-0.113084711660301,-0.115487530093713,-0.119420917052875
"14",-0.0289296992571062,-0.0351372940671855,-0.0398050144222379,-0.0489435741121325,-0.0574525873887968,-0.0659571131293228,-0.0746406470550411,-0.0868171853018858,-0.0950035793308244,-0.0995639427793167,-0.100939082550698,-0.107647555499167,-0.109191589313372,-0.112532992502131,-0.116066092943514
"15",-0.0265745980460856,-0.0332893375037413,-0.037405139217233,-0.0461076501014119,-0.0547527978759756,-0.0622028845668012,-0.0705313535362562,-0.082245997750908,-0.0883448886182778,-0.0918904809136833,-0.0926636299585812,-0.0979294381785811,-0.0988285271139482,-0.101529697351326,-0.105421291879714
"16",-0.0257904328838885,-0.0315001919466198,-0.035588067494901,-0.0433110265997696,-0.0511988548309414,-0.058863521818731,-0.0657765190709769,-0.0766973084762519,-0.0823206496565865,-0.0833928890836058,-0.0832050525833106,-0.0867459741988919,-0.0867450626834643,-0.0879487310005276,-0.0909127096606808
"17",-0.0250335258836749,-0.03119819597448,-0.0339314419161623,-0.0415996158610366,-0.0484785837535817,-0.0555832368336029,-0.0627526382229062,-0.072327682891915,-0.0779611486763017,-0.0785525963871674,-0.0754543008395272,-0.0776898817814757,-0.07676279331245,-0.076676085210531,-0.0780827441673662
"18",-0.0207509526260781,-0.0305749526668029,-0.0336676692321234,-0.0401319438501151,-0.0471193339337352,-0.0536892434721876,-0.0604781435353248,-0.0705296403953328,-0.074749670446784,-0.0768480699619136,-0.0731633285889721,-0.0721697166936144,-0.0708047328989014,-0.0698497803146108,-0.0702719940612697
"19",-0.0131007567857182,-0.02580813981346,-0.0327340422520237,-0.0398907105990762,-0.0459592491530731,-0.0530087419186893,-0.0595096115269458,-0.069526511731226,-0.073972691000411,-0.0755841757388449,-0.0747659814164416,-0.0728096454354601,-0.0689527786629771,-0.0677522740353771,-0.0677911640331681
"20",-0.00856279858195474,-0.0180476017542501,-0.0279676110677416,-0.0390764222360884,-0.0461117194108978,-0.0525854384360303,-0.0598347342433012,-0.0697376091612449,-0.074221832706499,-0.0761084888023884,-0.0756458091864323,-0.0769960185819425,-0.0727804468547451,-0.0693141340834105,-0.0695063285594992
"21",-0.00985956934162058,-0.0141827366768874,-0.0209338819362683,-0.0350711674224939,-0.0461971375677503,-0.0538921373071446,-0.0606691569193849,-0.0714879257624874,-0.0758453874944198,-0.0781928126794291,-0.0779558250469625,-0.0802326677861886,-0.0797469380824403,-0.0761281575306842,-0.0743429283911174
"22",-0.0114433135289982,-0.01620122929977,-0.0178226480120749,-0.0288711637619299,-0.0429604180210941,-0.0548166169516486,-0.0627549746815124,-0.0731450626190746,-0.0788933608503068,-0.0807115452508587,-0.0809031421790873,-0.0836893433404544,-0.0843931456677662,-0.0843480035020399,-0.0824747903986252
"23",-0.0121872905891598,-0.018154739455885,-0.0201902101565912,-0.0261427521774937,-0.0371021767665631,-0.0517442365914,-0.0636258688969535,-0.0751816958392961,-0.0811702257622269,-0.0838668992336231,-0.0829877705713642,-0.0746455246943976,-0.0759395751567418,-0.088225917077791,-0.0898474394986719
