"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"55",3.17673642512115,3.17582995997605,3.16852431491764,3.15613192221067,3.13078160832482,3.0905723470107,3.06404569019291,3.03364227851868,2.95890313349746,2.90900912611296,2.91899527986984,2.87903015364781,2.84520408656675,2.86761459185582,3.02104592822064,3.05644524544345,3.03502490236612,3.01936196866266,3.00079304537259
"56",2.23412598338606,2.23484510003157,2.22823808800727,2.21741325005771,2.19294572883165,2.15882314945247,2.14136428083076,2.11979322176772,2.05143152914785,2.00834943559414,2.02064964963573,1.98700809988205,1.95995206832488,1.93319572647722,2.00179483953542,2.09682396406024,2.14030577535348,2.12207366962887,2.08816405654728
"57",1.41483146358882,1.41865859095037,1.41257064034756,1.40319353576999,1.38000156796118,1.35219231739102,1.33756324045302,1.32510072540907,1.2659853243841,1.22822655121439,1.24047253639513,1.21231782550896,1.19071130983816,1.16787324235876,1.17736852975757,1.19406493607162,1.2990396848647,1.3266750911408,1.32973466393235
"58",0.818526997008709,0.826202008668653,0.82333396202023,0.815728413798716,0.795619309061539,0.774229295289814,0.766344164675366,0.760044959001102,0.71122060326635,0.680646128508822,0.690199046532925,0.663701694968204,0.645900177830536,0.625019979267643,0.629860898721863,0.595225120323086,0.618875558830172,0.693230311944453,0.739785263173053
"59",0.487006864621744,0.494161144252129,0.497081149589434,0.494322173520843,0.478889706555691,0.464747466765394,0.459361839336384,0.45777549075149,0.418134366289544,0.39584473372447,0.405069913697975,0.377140099981669,0.358371359715555,0.338820434426543,0.339342547785659,0.307057220512032,0.276700796731965,0.337642823291772,0.345092322131174
"60",0.394425073637168,0.398595302216101,0.403798591183062,0.408272850334992,0.40186771578103,0.394572633692119,0.393658907278134,0.395663116069606,0.365287918310641,0.348509813529624,0.359307375818165,0.332624802643547,0.309101198588506,0.287283406619855,0.285260488948555,0.253903718559633,0.224819622351978,0.291264246293525,0.297143936405788
"61",0.436004881306405,0.43775515031663,0.443216441168539,0.451023971864037,0.456543891860226,0.458758282359267,0.464553025838358,0.470729697349251,0.450250718757472,0.438645994223995,0.44951899853298,0.426537470509162,0.40162556759677,0.374701815158504,0.368004430109795,0.337494077777544,0.309175428619183,0.372400571244452,0.452895845968803
"62",0.503460584589508,0.505659643059084,0.511884678935806,0.520351258036665,0.533828960331344,0.54686804227483,0.559096116489719,0.569043398437112,0.559680234588215,0.554098247199225,0.56545880734094,0.546058969554686,0.523193439233518,0.495776428759074,0.481650977554987,0.449669844253145,0.421932332708805,0.457253591228847,0.560818931233636
"63",0.493220449621643,0.497685755875086,0.506548469726765,0.51587360527575,0.534061712907049,0.552473244838824,0.575431919386735,0.59257905381499,0.593813031767205,0.594979298270165,0.607970922444122,0.593827977336038,0.572827184019925,0.54934995272481,0.531751497182547,0.496822893055672,0.467214110555444,0.462810107247769,0.546184206415195
"64",0.349555315353308,0.358073185658513,0.370050891041517,0.382033622381864,0.40347142308598,0.423729601104561,0.44935021474664,0.475446827436765,0.490161749893857,0.497394118341843,0.513411125544418,0.506796957314579,0.490112705465862,0.470607913265501,0.452157166393117,0.419975544345446,0.386965969666262,0.34627845295543,0.37810727278808
"65",0.0845980513058072,0.0962743052486812,0.112047664314437,0.127047884782942,0.152396858605525,0.173370375426959,0.197663048909229,0.226241821462257,0.25409369661859,0.270829886329957,0.289113262205565,0.291546216992826,0.281891867408536,0.267953452853544,0.247374057606501,0.222361266531266,0.191682239200782,0.127633353918268,0.104032115374878
"66",-0.254579543116454,-0.243485955466855,-0.225530104191014,-0.207473741581636,-0.179215538805854,-0.157002563466875,-0.132780034518277,-0.105834430445811,-0.0746502567821078,-0.0490479694435962,-0.0234386821065096,-0.0115165024529402,-0.0116659884789181,-0.0176265866730216,-0.0388315095025452,-0.0575287401614151,-0.0816617796167065,-0.143724684350888,-0.206865191943128
"67",-0.586463170038259,-0.581892516458654,-0.565930327439409,-0.546281268731481,-0.51635106989179,-0.493240036770378,-0.471002843833842,-0.44715699983365,-0.418523406974121,-0.393447209457261,-0.3601907077859,-0.334522285583563,-0.32444942495303,-0.320906726135504,-0.340544252156483,-0.351680399444891,-0.370269913381843,-0.421454579080985,-0.487826376143612
"68",-0.844119478420342,-0.854404615873428,-0.846819527243601,-0.82980599961835,-0.800645783620358,-0.776994029692251,-0.755446392834315,-0.733882949751792,-0.709708898050342,-0.689069300008552,-0.658778834874786,-0.623474825895347,-0.599523933057238,-0.586439821711206,-0.601898388913115,-0.604530716905499,-0.616405338165624,-0.661482166110414,-0.71742879316101
"69",-1.00172947101596,-1.02250260722093,-1.03127084948609,-1.02368500830447,-0.999465431651323,-0.977439888321494,-0.957676391294361,-0.937981094304125,-0.917768275984038,-0.900003462731084,-0.877340151395445,-0.844887234197944,-0.810510248969788,-0.783802484077341,-0.793805304687457,-0.787849679112215,-0.791675295221934,-0.829342352385137,-0.879399262807585
