"year","kt1","kt2","kt3"
1990,-3.09741517807952,0.105428024508184,0.000779904040147968
1991,-3.10798658131703,0.104813099786594,0.000729420159516559
1992,-3.11764066348816,0.104408639042934,0.000676828145574598
1993,-3.12782510317261,0.104120352903769,0.000625641186667307
1994,-3.142652625366,0.104035942257282,0.00057550527573261
1995,-3.16775672361934,0.103815034435199,0.0005256469362092
1996,-3.19119682037447,0.103642277520007,0.000482898579879906
1997,-3.21811382328753,0.103247349747099,0.000443553563071244
1998,-3.2531921513776,0.103168906546264,0.000391427030106668
1999,-3.27397126422916,0.102712247564128,0.000348617241996542
2000,-3.28126845331365,0.102617721278111,0.00032629287998077
2001,-3.29633477277887,0.102476390440285,0.000286496976439442
2002,-3.30660431562087,0.102304606993734,0.000248669627075474
2003,-3.31123291208557,0.102302022228348,0.000212665571188226
2004,-3.29050784402717,0.102762194043148,0.000187905051915887
2005,-3.29898194667533,0.103101956503051,0.000147496074449168
2006,-3.30732698057888,0.103696916728884,9.00001019104947e-05
2007,-3.31382252777412,0.104186311638221,4.92928122380051e-05
2008,-3.31853463904898,0.104577420416534,2.36525655329162e-05
