"age","bx1","bx2"
55,1,-17.5
56,1,-16.5
57,1,-15.5
58,1,-14.5
59,1,-13.5
60,1,-12.5
61,1,-11.5
62,1,-10.5
63,1,-9.5
64,1,-8.5
65,1,-7.5
66,1,-6.5
67,1,-5.5
68,1,-4.5
69,1,-3.5
70,1,-2.5
71,1,-1.5
72,1,-0.5
73,1,0.5
74,1,1.5
75,1,2.5
76,1,3.5
77,1,4.5
78,1,5.5
79,1,6.5
80,1,7.5
81,1,8.5
82,1,9.5
83,1,10.5
84,1,11.5
85,1,12.5
86,1,13.5
87,1,14.5
88,1,15.5
89,1,16.5
90,1,17.5
