"year","kt"
1990,13.6095570178557
1991,12.4961075473272
1992,11.3130991637462
1993,10.0462515003292
1994,8.42784432919578
1995,6.14945392506018
1996,4.04112269175301
1997,1.81201372606248
1998,-1.41191666428651
1999,-3.35041569611239
2000,-4.35143488940229
2001,-5.8777951077106
2002,-7.01044435462246
2003,-7.68350371296385
2004,-6.36740554307576
2005,-7.16354420629751
2006,-7.74353860560056
2007,-8.26458931683491
2008,-8.67086180442286
