"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"0",2.72351782261854,0.878843784070543,-1.28683608212786,-3.27603757425087,-3.8243780182274,-2.01137228766103,-0.710853383950012,1.52940771223389,5.99512179297853,7.32809098591204,5.270679592339,5.61454028791997,4.69061944576048,2.72977210065308,-4.57854365818775,-4.93966365739996,-5.1914265595392,-5.51908035109239,-6.01041014393612
"1",1.80725715507572,0.362260597685329,-1.31129826105536,-2.53659892778373,-2.50401303495872,-1.1539817652511,0.313873507983867,2.62959699296154,4.01567259640494,4.8633020256884,3.41292608055446,3.17718834277023,2.25427240255444,1.033955985364,-3.16191393279961,-3.17613667713789,-3.31551773595696,-3.62180398546577,-3.88151647480645
"2",1.35931989264943,0.412004765444286,-0.66515289795615,-1.55827170599185,-1.7787155745535,-1.08842042844386,-0.179523450020305,1.52629775172714,2.40926177512311,2.9122151335715,2.12305126999003,2.14336308486983,1.73573983079395,1.0147570077068,-1.93679353649452,-2.00158293340379,-2.06874871419838,-2.28195997927991,-2.41195934637386
"3",1.23058315846503,0.642195380588549,-0.149172731528564,-0.896660083975446,-1.4099254276608,-1.21716840361883,-0.681086161936479,0.742245202018582,0.982978588216592,1.49111655592499,1.15208230436105,1.32325424944384,1.28413976297949,0.953524464607388,-0.950015019900839,-0.966348899572512,-1.07591710492784,-1.24979304181722,-1.30761579275235
"4",1.28860522602797,0.943790104580005,0.275275536408285,-0.43289658773667,-1.24365946757379,-1.41484252919705,-1.13957935162286,0.137459550241639,-0.203344772102325,0.379906871235053,0.381454397816509,0.656998904480364,0.920940483304853,0.906173507918213,-0.231376770920563,-0.169361949883031,-0.147709592384781,-0.452125979932558,-0.478997455698196
"5",1.40205119441543,1.22267741714421,0.607200945760646,-0.103987794129463,-1.16766363779225,-1.58994938298891,-1.49651488562815,-0.298641083864156,-1.1054789873868,-0.473968319285796,-0.220584624218212,0.128496228518688,0.629166375834666,0.859281204448417,0.318577641467076,0.354390399728817,0.491703662328833,0.265226138910716,0.136316394555641
"6",1.47610732543419,1.40429470849443,0.822252900235199,0.116144360551143,-1.10887123928018,-1.68755604245985,-1.70319710795218,-0.536363753856253,-1.69910371837523,-1.05556474926467,-0.640772329075953,-0.254075214510913,0.404156853305847,0.802045964492665,0.688779595581129,0.713238357325521,0.837188308631607,0.699774212642536,0.624129798385165
"7",1.46923157487288,1.45774208171287,0.911123993943088,0.23447760884621,-1.03721651305916,-1.68783033892115,-1.75212409947136,-0.585347669147804,-1.98250021553184,-1.36450261802668,-0.868777840128363,-0.479061762798125,0.249630426258178,0.731254933219709,0.875863721571947,0.899971885867118,1.02637937569125,0.877656591307962,0.881798965256774
"8",1.39125778896946,1.40335553276355,0.902001586144637,0.271627666633157,-0.948186465441843,-1.60032085449413,-1.68241915684974,-0.54063465474354,-2.01129297362081,-1.44304318713736,-0.935787674587722,-0.564126760301829,0.159267670722264,0.658607334493518,0.918675795981708,0.937843606136088,1.06587031765873,0.924948630104002,0.936191598302966
"9",1.26748637974395,1.27889943346927,0.829182697167073,0.256890509980275,-0.852178521441873,-1.45820935250898,-1.53318831224129,-0.469951963005306,-1.86580368049119,-1.35602543503,-0.884018680854958,-0.543627952486994,0.125729482325235,0.592030123329035,0.855656390010341,0.873976277998127,0.992290532475947,0.868468949183738,0.88103744149247
