"age","ax","bx"
0,-3.68184698050769,0.0241445936987126
1,-5.7327880429414,0.0386076100441291
2,-5.99365172559849,0.0343215596261888
3,-6.2157216475239,0.0293299127735272
4,-6.40933820047331,0.0243536371149553
5,-6.58394300329567,0.019838509040865
6,-6.74506473480657,0.0159836453088895
7,-6.89769868028981,0.013260646178333
8,-7.03784129503682,0.0117336733320929
9,-7.15638625628774,0.0113130940236154
10,-7.23868308384435,0.0115512568583021
11,-7.27385792575133,0.0120794473995956
12,-7.25815305375198,0.0125680600169557
13,-7.1918923215698,0.0126325665226391
14,-7.08484782844969,0.0122314490196782
15,-6.94910289734324,0.0114738552674281
16,-6.80111078664164,0.0105805363898633
17,-6.65803512361864,0.00980986756708532
18,-6.53219604611621,0.00930766993916044
19,-6.43276107579651,0.0091492442787724
20,-6.36115415316519,0.00936487888117932
21,-6.31406914211316,0.00977743398209317
22,-6.28545922560402,0.0102235928496477
23,-6.26876180013799,0.0105593619367842
24,-6.25863181635008,0.0107476017403096
25,-6.25043495538138,0.0107831673031872
26,-6.24104066667463,0.0107229883536837
27,-6.22818557135097,0.0106314898121199
28,-6.21151550765486,0.0105423329848802
29,-6.19175331629995,0.0104812535541547
30,-6.17119554142234,0.0104496554790545
31,-6.15238158959835,0.0104491462200691
32,-6.1362262418395,0.0104425158794855
33,-6.12286820348524,0.0104172714686927
34,-6.10970902212414,0.0104120911115324
35,-6.09244412644129,0.0104008183974425
36,-6.06668790614489,0.0103754617070102
37,-6.02869373882874,0.0103601220270923
38,-5.97846890729174,0.0103601789508431
39,-5.91849420465477,0.0103845827301895
40,-5.85419641358122,0.0104114606105234
41,-5.79289538714354,0.0104411743136702
42,-5.73916729361312,0.0104583469656828
43,-5.69510701841117,0.0104128551557028
44,-5.65775588549107,0.0103362174891886
45,-5.62003338731407,0.0102125425199937
46,-5.57424816832088,0.0100447946595386
47,-5.51287622394568,0.00984226125563737
48,-5.43399401792979,0.00960039500801458
49,-5.34055534036982,0.0093617699908219
50,-5.23952116351343,0.00907551060908552
51,-5.14225804190342,0.00881049093103187
52,-5.05723432229822,0.00864070666956657
53,-4.98879305461943,0.00851208594895281
54,-4.93587835195198,0.00846916951471974
55,-4.89128752226238,0.00846842121240184
56,-4.84613847876344,0.00845134584120538
57,-4.79129384656502,0.00843591691986675
58,-4.72152001601975,0.00840981664423799
59,-4.63559895970588,0.00833300204027486
60,-4.53611629887651,0.00817044654571919
61,-4.43020276145509,0.00799986093835998
62,-4.32393141082536,0.00786735094063187
63,-4.22153367579696,0.00774763917824293
64,-4.12495186064134,0.00764918666862808
65,-4.03307879719786,0.00756360043557621
66,-3.94374960784444,0.00748207543643999
67,-3.854135844203,0.00742004232589891
68,-3.76222615679409,0.00738201761254021
69,-3.66723545171015,0.00736661814794749
70,-3.56925346757694,0.00736526254387365
71,-3.46940953693782,0.00736319782326858
72,-3.36891673804441,0.00736051508925049
73,-3.2686871551888,0.00734727535137486
74,-3.1692092175584,0.00732732918513766
75,-3.0702984054423,0.0073113307706634
76,-2.97145840943783,0.0073021303785375
77,-2.87211664807503,0.00731911682934306
78,-2.77171112537371,0.00738284499809959
79,-2.67006005809841,0.00751809419683486
80,-2.56731689445932,0.00775698164318414
81,-2.46394344579601,0.00811402653395037
82,-2.36075410978718,0.00860314447870484
83,-2.25852783013424,0.00922696709786444
84,-2.1579986400354,0.00995484756441665
85,-2.05971949854148,0.0107588223352542
86,-1.96374367914686,0.0115862147205098
87,-1.86969106190855,0.0124055016349396
88,-1.77716071877238,0.0131270988255458
89,-1.68405308184679,0.0139765998435177
90,-1.58899001490416,0.0151022069365247
