"year","kt"
1990,0.138933488042986
1991,0.128303370809789
1992,0.117659398740603
1993,0.106107881338333
1994,0.0895710121212941
1995,0.0641277851612642
1996,0.0407666829082272
1997,0.0151290448806605
1998,-0.0200071272017788
1999,-0.0406064630192187
2000,-0.0488586654359716
2001,-0.0641464769255425
2002,-0.0745993188967843
2003,-0.0797979075015183
2004,-0.0612635457589749
2005,-0.0692580999747724
2006,-0.0759116577402585
2007,-0.0809325434854512
2008,-0.0852168580628873
