"age","ax","bx"
0,-3.70363850093988,0.0293250627625873
1,-5.75549390956248,0.0442280594890438
2,-6.00040395674845,0.0380006632216785
3,-6.21228847908097,0.0316883446566967
4,-6.39765472030839,0.0256321195409872
5,-6.56508021871901,0.0201997421253388
6,-6.72212533489656,0.0157960168039805
7,-6.87268145187438,0.0127659661184289
8,-7.01226545400621,0.0111350267944609
9,-7.13119312264449,0.0107557970044109
10,-7.2152788363883,0.0111901976241852
11,-7.25257456194089,0.0119283953753111
12,-7.23824413711675,0.0125180413395624
13,-7.1729308649105,0.0125957835781965
14,-7.06640292875674,0.0121209661082822
15,-6.93057593794866,0.0111680258732507
16,-6.78245465252764,0.0100509512260794
17,-6.63959951853543,0.00909276958071946
18,-6.51449365223222,0.00846910676909536
19,-6.41631056030336,0.00825701703064379
20,-6.34546019049608,0.00837343378546442
21,-6.29924707514304,0.00870545797840236
22,-6.27175353263912,0.00909841478262106
23,-6.25641149449371,0.00940505915988507
24,-6.24781175114749,0.00958490716172467
25,-6.24123654149724,0.00962580916835769
26,-6.2334977272067,0.00957913201762125
27,-6.22230788422133,0.00950355536109324
28,-6.2073165575173,0.00942351150285676
29,-6.18921155921154,0.00937497760464664
30,-6.17025186909398,0.00936859147238195
31,-6.1530237834641,0.00939020239992422
32,-6.13839751350144,0.00940613510419417
33,-6.12650123694089,0.00941056567560612
34,-6.11479882889433,0.00943680661820869
35,-6.09893268629268,0.00946080101969298
36,-6.07453609667266,0.00946393373264333
37,-6.03790601419475,0.00946736841369198
38,-5.98904196263846,0.0094845592827664
39,-5.93040521621036,0.00953187953036038
40,-5.86737315954858,0.00958859379974714
41,-5.80741685226891,0.00961490568691551
42,-5.75521380608003,0.00957724858131392
43,-5.71265475354093,0.00947948094037159
44,-5.67668887207356,0.00938247918436274
45,-5.64024741814025,0.00926715508199603
46,-5.59562678660416,0.0091355116311974
47,-5.5352651990645,0.00899334472416552
48,-5.45725495510595,0.00884166226852044
49,-5.36456281322364,0.00873512059693295
50,-5.26408247632378,0.00859742396166676
51,-5.16722400966412,0.00849772565221555
52,-5.08247592650465,0.00851629452911591
53,-5.01412509765324,0.00857924110672099
54,-4.96115355571017,0.00873596595450291
55,-4.91634028300772,0.00892854878494061
56,-4.87077681977544,0.00908079353600186
57,-4.81535636491436,0.00921877385406789
58,-4.74487857827911,0.00933817730349846
59,-4.65814263093867,0.00939216090329678
60,-4.55755080894125,0.00931790635193549
61,-4.45012847838854,0.00919787851472455
62,-4.34215497636444,0.00911480239019821
63,-4.23795541713648,0.00905272103931115
64,-4.13945644743305,0.00901427018383172
65,-4.04554860705973,0.00898681099185816
66,-3.95407296909982,0.00896033263079593
67,-3.86221135136815,0.00895471709360871
68,-3.76795657072912,0.00898379491178578
69,-3.67051934636265,0.00904767247880852
70,-3.57000057503107,0.00913150580211844
71,-3.46754383824348,0.00921570627267759
72,-3.36438421411135,0.009293368785385
73,-3.26145162173143,0.00934882118848072
74,-3.15925686733777,0.00937870098030028
75,-3.0576254036086,0.00938990109083601
76,-2.95607236883022,0.00937862194525065
77,-2.85406417210428,0.00935371632073406
78,-2.75114651409759,0.00931875187231205
79,-2.64726529252876,0.00928306597303751
80,-2.54271674534564,0.00926225355210557
81,-2.43809856134364,0.0092584055748021
82,-2.33432355737837,0.00928385245206056
83,-2.23230425045268,0.00933090814946397
84,-2.13284531029619,0.00937534270667943
85,-2.03662366457227,0.00938699396721896
86,-1.94377991401327,0.00932509766720266
87,-1.85400892488304,0.00918047808589684
88,-1.76660813102126,0.00896750879109728
89,-1.68032902860691,0.00875107033168249
90,-1.59419874964936,0.00864125902716581
