"","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"0",0.00705817649051488,-0.00910893333417029,-0.0327059967697174,-0.0573066205065582,-0.0837397901326158,-0.110209617151009,-0.141337853415287,-0.173122194350013,-0.205490493622508,-0.240834498313578
"1",0.0468607813622226,0.0197210243764747,-0.0137794743595867,-0.0450160393634151,-0.0827180194641395,-0.122373609427017,-0.166987779123518,-0.211117846165373,-0.259326092584756,-0.31508938531992
"2",0.0119851996727194,-0.0112115528965786,-0.0427287029878789,-0.0719062422267855,-0.108096524893926,-0.14597813463155,-0.184007350729865,-0.223284500037399,-0.267318714653096,-0.314403477510638
"3",-0.0229188247458296,-0.0451052656143105,-0.0711470315557197,-0.0968615522342962,-0.130102254475497,-0.164277023073256,-0.197417599192081,-0.230569144582983,-0.268051976625932,-0.307959536288911
"4",-0.053989496394288,-0.076440573293624,-0.103076521519157,-0.119777063970155,-0.149121211383943,-0.178674118068062,-0.206204951822343,-0.234312015034718,-0.265901001497334,-0.298390258941928
"5",-0.0816705593783249,-0.101088074389886,-0.128571751365493,-0.143909048190804,-0.165063641168571,-0.189566423605526,-0.21161172464095,-0.233624497079698,-0.261026021579146,-0.288280424326144
"6",-0.103066118822857,-0.120272256764967,-0.144691008403728,-0.159953575545088,-0.179359417416066,-0.196875550399828,-0.2134868306389,-0.230272711713591,-0.252646920173945,-0.276757389058916
"7",-0.11616944069293,-0.132057589037805,-0.154840828811173,-0.167126797583987,-0.187097246441302,-0.201144307761554,-0.213095373496643,-0.225457268272766,-0.244087103492739,-0.264436998840592
"8",-0.121377442859691,-0.136277874707002,-0.158268859943221,-0.169229267363261,-0.188051884533766,-0.202505712512318,-0.211575395391295,-0.220733101224497,-0.236582455053161,-0.254615761635873
"9",-0.11942765601639,-0.133982292005452,-0.155425596418035,-0.166345343549275,-0.184758269610364,-0.199762870041458,-0.20887936177704,-0.21659221329404,-0.230828217954975,-0.247219465901136
"10",-0.112535870054168,-0.127163082142709,-0.148150545337374,-0.159506585633477,-0.178487992626444,-0.193733266306019,-0.203877207710056,-0.212822974120026,-0.226624114085051,-0.242152162722106
"11",-0.103415510313051,-0.117837442694738,-0.13846009257858,-0.150347660295208,-0.169467567472927,-0.186068194795843,-0.196842219381355,-0.207169593434281,-0.222291937177107,-0.237766493935558
"12",-0.0935637825746616,-0.107759867295838,-0.127668665918216,-0.140247306016756,-0.158952454489988,-0.175919706009792,-0.188657733089248,-0.199385935912225,-0.21553724014323,-0.231886579145079
"13",-0.0848919276529658,-0.0986584648395343,-0.117384038547465,-0.130059666491073,-0.148226680992813,-0.164899837254858,-0.178185198481285,-0.190043764520638,-0.205965160543294,-0.222534477175934
"14",-0.0779882766260709,-0.0908979520659097,-0.108420515546511,-0.121016330580433,-0.137777389099366,-0.153985468758499,-0.167161595262624,-0.178797847311722,-0.194904938695663,-0.210382483666373
"15",-0.0725764475005333,-0.0847669408204128,-0.100665995175563,-0.112500100636039,-0.128089496244017,-0.14251076641512,-0.155693806295218,-0.166277908431152,-0.181448719737774,-0.19656216793478
"16",-0.0686404383251942,-0.0796054753911974,-0.094077966336898,-0.103791742332196,-0.118890830309411,-0.132507223556912,-0.144191718113104,-0.154254329154847,-0.167952023753176,-0.181814587477809
"17",-0.065922632392037,-0.0759309730132216,-0.0890849254839727,-0.0958578432834551,-0.10905214792693,-0.123756754338492,-0.135465959147678,-0.14374373980774,-0.156956448470996,-0.169379951081921
"18",-0.0643747020505669,-0.0737254566705197,-0.0858033400141247,-0.0908502012811612,-0.0996197583263658,-0.113879770315167,-0.128942044272119,-0.137273034753666,-0.148975583287884,-0.161201247287731
"19",-0.0637147104659661,-0.0728649503722059,-0.0844479175410102,-0.0896398778386001,-0.0950488843326385,-0.104125913173903,-0.12195431567754,-0.134001237592,-0.146278925414948,-0.157468483444841
"20",-0.0638274729789776,-0.0730132771753604,-0.0846142798864866,-0.0904140654463346,-0.0962410777610208,-0.100399200386476,-0.115047355116673,-0.130130715988066,-0.146402878714315,-0.158601527447026
"21",-0.0643754217740975,-0.0737108024288107,-0.0855519183732669,-0.0919902782475503,-0.0989458167491302,-0.103940660456951,-0.113542778317727,-0.125572874102618,-0.144989110114353,-0.161394030785118
"22",-0.0651027433480174,-0.0746009565631081,-0.086670930391989,-0.0941446672783419,-0.101542359002967,-0.108152147649744,-0.118323750730373,-0.125358856752537,-0.141821059812249,-0.161324001381272
"23",-0.0658830537468775,-0.0754828077904666,-0.0877444677676538,-0.0960846040179968,-0.104474416009311,-0.111205715486182,-0.122708728584903,-0.130279763517605,-0.141767869770502,-0.158262858591567
"24",-0.0665608682007361,-0.0762116873783025,-0.088628256110348,-0.0978848066274303,-0.106852275537211,-0.11464309173472,-0.125480434878987,-0.134235774135901,-0.14612292730536,-0.157644915379956
"25",-0.066999155036207,-0.0768298464839452,-0.0891929718845406,-0.0992636270163212,-0.109115391484081,-0.117165819057184,-0.128311792975317,-0.136321312972091,-0.149227395444293,-0.160941909470439
"26",-0.0671190096533527,-0.0771081750124152,-0.0895660910606901,-0.0997424048364541,-0.110738207373838,-0.119555666080864,-0.130062496995823,-0.138265923540782,-0.150393670066598,-0.16299292082256
"27",-0.0670265609468421,-0.0770226496248645,-0.0896404121168874,-0.100165880474526,-0.111113174463559,-0.121446958935154,-0.131922009680543,-0.139537162918931,-0.151732808502529,-0.163517453334866
"28",-0.0667850272361887,-0.0768006101360177,-0.0893575041620869,-0.100680096674127,-0.111647896938092,-0.121560217110416,-0.133367503965808,-0.141002567328182,-0.152525683196064,-0.164389695433949
"29",-0.0664722817012429,-0.0764584187085928,-0.0890638889668516,-0.100889033846382,-0.112703383908217,-0.122437071470342,-0.133423663904511,-0.142311800644245,-0.153972644576896,-0.165120702673466
"30",-0.0660707042484994,-0.0761920231669473,-0.0888468890042686,-0.100622968615288,-0.113742259655639,-0.12433853080693,-0.134374662766801,-0.142496691727977,-0.155503697514462,-0.166684512528984
"31",-0.0658155351391976,-0.0759886856481335,-0.0887205311600319,-0.101112957297702,-0.113507666322189,-0.126132904569012,-0.136348461879336,-0.143593915113645,-0.155864189413498,-0.168465147685381
"32",-0.0656195977135852,-0.0758493674012364,-0.0886684038704182,-0.102876436004864,-0.114844466507628,-0.126085715138115,-0.138273591949736,-0.145733498090271,-0.157139772151774,-0.169027181276464
"33",-0.065509456713575,-0.0757222571889971,-0.0886632328949055,-0.103085682140609,-0.118559475130234,-0.128128609959838,-0.138301290505006,-0.147726177931644,-0.159332814558304,-0.170347792887782
"34",-0.0656638314010785,-0.0757031073917416,-0.0886564825337119,-0.102514447599439,-0.119111612508831,-0.133826912576612,-0.140386238608508,-0.147766785210546,-0.161451429180412,-0.172665345885307
"35",-0.0655900823078701,-0.075770928083859,-0.0885852557369295,-0.102746354763842,-0.117692197789429,-0.134426951039694,-0.145884133986191,-0.149731227054353,-0.161353121954241,-0.174532728371181
"36",-0.0651796699018528,-0.0754845787405012,-0.088429092742933,-0.103235623302004,-0.118024155346723,-0.132081274053116,-0.146183457418441,-0.154881327444375,-0.163048536503037,-0.174228094225992
"37",-0.0647149312844046,-0.0748267203581365,-0.0878872326709468,-0.103225238926367,-0.11893673306044,-0.132455178953109,-0.143508982765914,-0.154871751723569,-0.167863668905252,-0.175671973326576
"38",-0.0644104877011218,-0.0741973969452507,-0.0870011201187744,-0.102068395092423,-0.11910081400819,-0.13367184655629,-0.143644850212036,-0.152130254790664,-0.167705285608856,-0.180176894507084
"39",-0.0640936161591714,-0.0739493422750819,-0.0864246555054375,-0.100992750330063,-0.117607277154564,-0.134221218234472,-0.144976374998305,-0.152439819690003,-0.165298330990164,-0.180284455324998
"40",-0.063687356298737,-0.07371460674561,-0.0862772691347979,-0.100318490465404,-0.116506261833026,-0.132608997970982,-0.145674424044212,-0.15400465686713,-0.165950298015027,-0.178232677554642
"41",-0.0630163657510288,-0.0732628610137098,-0.0858946078770098,-0.0993415445575474,-0.115332648129374,-0.131086022485641,-0.143767613549264,-0.154366634070782,-0.16701722085679,-0.178342746037836
"42",-0.0614109110683136,-0.0721421026417293,-0.0848817630866607,-0.0987974160265512,-0.112987030998805,-0.128854943837432,-0.141275319277259,-0.151400742128005,-0.16614308442025,-0.17799610123742
"43",-0.0606873078954662,-0.070525368117849,-0.0836788056947269,-0.097928856243291,-0.112700063140482,-0.125766900472785,-0.138795561572825,-0.148648984254608,-0.162821823058516,-0.176616931450686
"44",-0.0610584019319393,-0.0702826578228315,-0.0825613427868461,-0.0968159699450419,-0.112811023144776,-0.126611381262797,-0.136435596210623,-0.146942044796297,-0.160859729764539,-0.17416847435181
"45",-0.0608448791342351,-0.0707207303845614,-0.0823304793936179,-0.0946293342534625,-0.111158266927362,-0.126943019380653,-0.137238073874506,-0.144489530721973,-0.159054484553029,-0.172027097166215
"46",-0.0605820545164413,-0.0704698740374354,-0.0827363726752024,-0.0929819684890294,-0.107836845528096,-0.124788333970275,-0.137510837039359,-0.145196037234387,-0.156485067378239,-0.170092000875502
"47",-0.0598410466796544,-0.0700327532819998,-0.0822679290465036,-0.0927929913407928,-0.104827535312615,-0.120429214461854,-0.13528123491729,-0.1454318433019,-0.157191781305515,-0.167536604535277
"48",-0.0586052990664792,-0.068870746867467,-0.0813481381438708,-0.0894606547528642,-0.10367429269597,-0.115767188197478,-0.130439120786844,-0.142752541905023,-0.156998339127065,-0.16779072238852
"49",-0.0579373149438833,-0.0677118863674124,-0.0802840164560283,-0.0897243944141835,-0.0981897825755889,-0.114512308883227,-0.126229504767122,-0.138460909344058,-0.154934369414333,-0.168275556812961
"50",-0.0569962955880721,-0.0672127541594811,-0.0792499483277069,-0.0924968419898731,-0.0996858376341372,-0.107108984780536,-0.125439100449689,-0.134821656863869,-0.151276512544025,-0.16685002160989
"51",-0.0560824467238259,-0.0665810720668887,-0.0790642626348106,-0.0919133218864197,-0.106341850634436,-0.110056966978854,-0.118679545403702,-0.13475208293222,-0.148430536572605,-0.163960668920339
"52",-0.0555638312421438,-0.0662552071551925,-0.0790603167541892,-0.0934113601460576,-0.106603820832318,-0.120967811164824,-0.122704113103319,-0.129243098887475,-0.149626474348247,-0.162442409474304
"53",-0.0556660662018391,-0.0663474871546486,-0.0794025309542814,-0.0944564934706351,-0.109755285171161,-0.122145995373523,-0.134577658766797,-0.134263219468441,-0.145206809494439,-0.164705253571935
"54",-0.0577634321231013,-0.0675540264275725,-0.0807008158489984,-0.0948792501184874,-0.112599468606872,-0.12776435252766,-0.137486677473668,-0.147916000011906,-0.152128145694479,-0.16228281463916
"55",-0.0559470953594152,-0.0694937431169906,-0.0816535147798589,-0.0960270165144843,-0.111423311571415,-0.130602817614784,-0.142740106703479,-0.150407015615913,-0.165301686787452,-0.168681663325216
"56",-0.0491652632232391,-0.0660341289498589,-0.0818818268764065,-0.0960939961824918,-0.110614448007719,-0.12587420383014,-0.143185772549039,-0.153110155008096,-0.165051917257127,-0.178986375713096
"57",-0.0460769970457422,-0.0582815635726224,-0.0774554038109363,-0.0941629425002315,-0.110702921768544,-0.124059232018344,-0.137240416871836,-0.152288127533103,-0.166417753413218,-0.17730316777473
"58",-0.045504729286451,-0.0546321244672345,-0.0689722270952728,-0.0880202795919978,-0.106754542655588,-0.124412058965557,-0.134521838883111,-0.145359451214603,-0.164529386878115,-0.17754974226321
"59",-0.0444914580579754,-0.0535594658507215,-0.0647257474758334,-0.0826459940848583,-0.0989381546276595,-0.118467177873323,-0.134158506683492,-0.141865598366956,-0.156807599244539,-0.174797170568223
"60",-0.043149413768524,-0.0520411002359991,-0.0630435436707826,-0.080758140783832,-0.0966016120939521,-0.108869176511861,-0.127391578352635,-0.140651877960109,-0.152447549262904,-0.166107805127293
"61",-0.0416224760788095,-0.0502983051381785,-0.061069929568963,-0.0780777673895017,-0.097118989238087,-0.109756629918563,-0.117193467210552,-0.133307242932436,-0.150564219147765,-0.161028596285487
"62",-0.0403376561805198,-0.0486956434896992,-0.0592322907831706,-0.0744276649664792,-0.0939571356774236,-0.113153080688109,-0.118069649519456,-0.123230001825051,-0.143281761395158,-0.159136679008571
"63",-0.0395150237150759,-0.0475016041256691,-0.0577002160994704,-0.0707103843502868,-0.0887686662729168,-0.10980595143754,-0.121554583333787,-0.124247726395127,-0.133510098997862,-0.152068967622753
"64",-0.0390800411856356,-0.046982883775331,-0.056827542990967,-0.0680047718342243,-0.0834196111863772,-0.103459978103851,-0.118721158944588,-0.128235826788685,-0.13513048036815,-0.143054381019322
"65",-0.0388604511633046,-0.0468895207170386,-0.0566675568694155,-0.0667060574029339,-0.0795497976426871,-0.0965167155500417,-0.112955746083902,-0.126034325618807,-0.139633735186681,-0.14528930801753
"66",-0.0389583104655591,-0.0471026746851262,-0.0570162393884273,-0.067023547042103,-0.0781351240154624,-0.0915915621307484,-0.106488318668744,-0.120917519174089,-0.138011463887748,-0.15025121656117
"67",-0.039328504283604,-0.0476877932922832,-0.0577495800769152,-0.0681222342496279,-0.0790576743134328,-0.0903017105211172,-0.102194305467916,-0.1153336343633,-0.13376522106715,-0.149416855042149
"68",-0.039760991104095,-0.0484157632164486,-0.0587177933914753,-0.0693131504355873,-0.0806406965710513,-0.091767125136418,-0.101537190855695,-0.111868140780959,-0.129073124953018,-0.146015888885234
"69",-0.0401287782197675,-0.0491181736698625,-0.0597454465549729,-0.0706461194357244,-0.0822294283683864,-0.0937868218694136,-0.103471404480016,-0.111824212624122,-0.126350300482954,-0.14208943906207
"70",-0.0402882488109784,-0.0495932360497906,-0.0605548989528906,-0.0718177203048267,-0.0837119316980761,-0.0955474595318671,-0.105661097511398,-0.113990903156217,-0.126620917664815,-0.139721660026011
"71",-0.0399049357762076,-0.0496114886638521,-0.0608519077162124,-0.0724553657179983,-0.0846794434935418,-0.096811089022617,-0.107153469139759,-0.115936905903137,-0.128537986933456,-0.139732562834813
"72",-0.0389748059792852,-0.0489235045592138,-0.0605192280097975,-0.0724026463820269,-0.0849251175825594,-0.0973584222230524,-0.107929332016584,-0.116974681566618,-0.129987815488026,-0.141076431915998
"73",-0.0378357576732786,-0.0475666721436472,-0.0593321250859131,-0.0715686304083043,-0.0843009855212138,-0.0969867734163437,-0.107777178992468,-0.117076026514006,-0.130287372512678,-0.141671997193642
"74",-0.0366921426127078,-0.0460191799208634,-0.057494348894183,-0.0699154208042261,-0.0829237622506724,-0.0957814829244859,-0.10673650205904,-0.116286838058988,-0.129692787924322,-0.14115603572188
"75",-0.0355970328437465,-0.0445646141043818,-0.0555875305493707,-0.0677646843309176,-0.0808903587108811,-0.0940017371580182,-0.105059883180441,-0.114832397991656,-0.128434648837767,-0.13999059265043
"76",-0.034532387901089,-0.0432209697167276,-0.0538428486094236,-0.0656000202685152,-0.0784223324120874,-0.0916345296118291,-0.102869980770418,-0.112794259980768,-0.126564680892252,-0.138221256812602
"77",-0.0334816025218947,-0.0419965442905581,-0.0523219691469192,-0.0637062111537627,-0.0760871823751033,-0.0889969441255483,-0.1002675974594,-0.11042264499031,-0.124317398920211,-0.136065365893602
"78",-0.0323631331600329,-0.0408028018762749,-0.0509458398103653,-0.0620430607872549,-0.0740485225584906,-0.08651673485832,-0.0974347289798096,-0.107679756093775,-0.12178267169847,-0.133585429831502
"79",-0.0311419946211631,-0.0395151876264532,-0.0495830992176671,-0.0604931846524206,-0.0722299725568734,-0.0843322846019836,-0.0947810404930949,-0.104742578817354,-0.118937516776217,-0.130884786582417
"80",-0.0299043422037504,-0.038115024707555,-0.0481247362400303,-0.0589634785495003,-0.0705611604734262,-0.082418232010073,-0.092486292321579,-0.102085005069592,-0.116038667214478,-0.128036761951462
"81",-0.0287475166726754,-0.0366271288884104,-0.0464895803603746,-0.0572791907328045,-0.0688452458730899,-0.0805741861084246,-0.0903724010035405,-0.0997183935023962,-0.113348416450049,-0.12508844285462
"82",-0.0279828185988209,-0.0353028512239542,-0.0448771415111224,-0.0555556995374795,-0.067128767259375,-0.0788621143501853,-0.088512873489182,-0.0977733834319805,-0.111189237884366,-0.122615848210115
"83",-0.0275308677054182,-0.034475098190355,-0.0435284539149472,-0.0539628582587923,-0.0654756563700403,-0.0772489839449504,-0.0868570850019394,-0.0961725367391679,-0.109502540541668,-0.12072063528756
"84",-0.0270201248165045,-0.0340053358516759,-0.0426914684802453,-0.0526130150987805,-0.0638915165608185,-0.0756038467987556,-0.0851675869278092,-0.0946378578075042,-0.107966100685445,-0.119062432528495
"85",-0.0267256730226326,-0.0336353462572174,-0.0423495264775355,-0.051878329499436,-0.0626242996081352,-0.0740756455195197,-0.083458898620886,-0.0930377631426205,-0.106421636313169,-0.117443882287609
"86",-0.0267178428124697,-0.0336152868650261,-0.0421985108636331,-0.0516740047835831,-0.0619659614655652,-0.0728193652744253,-0.0817959649638516,-0.0912752340689664,-0.104634144066587,-0.115584999159818
"87",-0.0265802685095249,-0.0337561989970512,-0.0422420617487402,-0.051486613057917,-0.0616488929197037,-0.0719653239097604,-0.0802222914176274,-0.0893114296200426,-0.102453471899178,-0.113224287086661
"88",-0.0264733711421927,-0.0335935574488884,-0.0422574115170029,-0.051304491703595,-0.0611863810116788,-0.0712940312518051,-0.0789323255993111,-0.0873012466263636,-0.0999977954980014,-0.1104021532332
"89",-0.0266729941180477,-0.0333303916511694,-0.0419167593734946,-0.0511128120615962,-0.0608304009576834,-0.0706721945499382,-0.0781046089528943,-0.0859208484695977,-0.0979756170661112,-0.107883033461189
"90",-0.0267893450614802,-0.0331426122384375,-0.0414028682994909,-0.0506371872285012,-0.0606696033892049,-0.0704895561287868,-0.0777799728452324,-0.0855888897359716,-0.0973094998559756,-0.106694016653482
