"year","kt"
1990,14.6577620446799
1991,13.2400375332589
1992,11.7757650741252
1993,10.2336841650181
1994,8.32610832471359
1995,5.68057570647846
1996,3.29205780008653
1997,0.819310285846174
1998,-2.6477413660285
1999,-4.62532669286306
2000,-5.4072471656097
2001,-6.75584318960193
2002,-7.60600898019447
2003,-7.90461963351015
2004,-5.97947101256613
2005,-6.42980664105774
2006,-6.75009409422119
2007,-6.90862579584621
2008,-7.01051636270786
